set_id	pval	padj	log2err	ES	NES	size	leadingEdge	set_label	population	contrast	analysis_role	ranked_genes	n_samples	n_donors	duplicate_correlation	comparison_FDR	global_primary_FDR	record_type	leaveouts	full_NES	full_pval	full_comparison_FDR	full_global_primary_FDR	direction_retained_fraction	comparison_FDR_0_05_fraction	median_LOO_NES	min_LOO_NES	max_LOO_NES	max_absolute_delta_NES	main_ES	main_NES	main_pval	main_comparison_FDR	main_global_14test_FDR	main_size	main_ranked_genes	main_n_samples	main_n_donors	main_duplicate_correlation	complete_case_ES	complete_case_NES	complete_case_pval	complete_case_comparison_FDR	complete_case_global_14test_FDR	complete_case_size	complete_case_ranked_genes	complete_case_n_samples	complete_case_n_donors	complete_case_duplicate_correlation	complete_case_leadingEdge	delta_NES_complete_case_minus_main	abs_delta_NES	direction_concordant	main_global_significant	complete_case_global_significant	global_significance_retained	significant_direction_retained	sensitivity_interpretation
heat_response								Heat response	NEUNpos									RIN_complete_case_sensitivity												-0.322318944692833	-1.02166961969978	0.414893617021277	0.484042553191489	0.528046421663443	21	11081	27	9	0.216266399004745	-0.372687670721163	-1.17196663918454	0.256728778467909	0.359420289855072	0.43956442831216	20	10963	26	9	0.219652384862735	DNAJA3;TRPM2;EIF2B5;EIF2B4;EIF2B3;DNAJA4	-0.150297019484757	0.150297019484757	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
axon_development								Axon development	NEUNpos									RIN_complete_case_sensitivity												-0.232846620428168	-1.022136891378	0.401639344262295	0.484042553191489	0.528046421663443	83	11081	27	9	0.216266399004745	0.23543224544259	1.01037046442389	0.441904761904762	0.515555555555556	0.562424242424242	82	10963	26	9	0.219652384862735	PLPPR4;BAIAP2;DCHS2;KLF7;ANK3;ACTB;SVBP;BRSK2;WNT7A;ACTG1;SLITRK5;CTNNA2;PAK3;CELSR3;NEUROD6;CNTN4;VASH2;PARD3;GPM6B;SLITRK3;PLP1	2.0325073558019	2.0325073558019	FALSE	FALSE	FALSE	FALSE	FALSE	direction_flip_but_both_global_nonsignificant
mitochondrial_energy								Mitochondrial energy	NEUNpos									RIN_complete_case_sensitivity												-0.251754845592781	-0.795138126820039	0.76890756302521	0.76890756302521	0.828054298642534	20	11081	27	9	0.216266399004745	-0.251026879261287	-0.789387873936254	0.763975155279503	0.763975155279503	0.822742474916388	20	10963	26	9	0.219652384862735	NDUFV1;NDUFS2;COX5B;NDUFB6;UQCRC1;UQCRH;COX4I1	0.00575025288378495	0.00575025288378495	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
synapse_junction								Synapse / junction assembly	OLIG2pos									RIN_complete_case_sensitivity												0.457813685239278	1.79666714946723	0.00113314553415768	0.00793201873910374	0.014436765038836	52	10098	27	9	0.171585015775697	0.461251039529345	1.80171443899067	0.000962321094218677	0.00673624765953074	0.0134724953190615	52	10215	26	9	0.165107810413971	NLGN1;ADGRL3;CDH2;OPHN1;NLGN4X;NRCAM;GRIA1;ZDHHC2;DSCAM;ERBB4;SDK1;RYK;GPHN;NRG3;SPOCK2;NLGN3;NRXN1;DNER;PCDHB9	0.00504728952343947	0.00504728952343947	TRUE	TRUE	TRUE	TRUE	TRUE	global_significant_direction_retained
small_GTPase								Small GTPase	OLIG2pos									RIN_complete_case_sensitivity												-0.279942564156638	-1.37136972609058	0.0247479661983786	0.0866178816943252	0.0866178816943252	139	10098	27	9	0.171585015775697	-0.276656596135187	-1.31837408681374	0.0231017925962631	0.0808562740869207	0.0808562740869207	141	10215	26	9	0.165107810413971	MCF2L;ARHGAP39;GARNL3;RASGRF1;SRGAP3;VAV2;ABR;BCAR3;RALGPS1;RERG;PLEKHG3;RGL2;ARHGAP22;RASGRP3;ARHGEF2;SIPA1L3;ARL3;NUCB1;CCDC88A;DOCK1;PREX2;DOCK6;ARHGAP35;SWAP70;TIAM1;PLEKHG1;RHOBTB1;CHN2;DOCK10;MYO9B;ARHGAP26;ARHGAP1;RASGEF1C;ARHGEF40;ARAP1;GNA13	0.0529956392768434	0.0529956392768434	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
protein_folding								Protein folding	OLIG2pos									RIN_complete_case_sensitivity												-0.245266664102555	-1.17925934987911	0.125284738041002	0.292331055429005	0.292331055429005	126	10098	27	9	0.171585015775697	-0.266364117456236	-1.24375072062525	0.0931818181818182	0.217424242424242	0.260909090909091	127	10215	26	9	0.165107810413971	CCT4;TBCD;ATPAF2;DNAJB2;COX19;HSPA4L;PPIL2;HSPA4;DNAJB1;HSP90AB3P;DNAJB11;NUDC;RUVBL2;DNAJA4;HSPA14;DNAJA2;MPDU1;PDIA6;HSP90AA1;HSPA9;FKBP10;TRAP1;PDIA5;NUDCD3;DNAJC7;POFUT3;PTGES3;BAG3;HSPH1;RANBP2;P4HB;PPIH;DNAJB6;WIPF1;CCT3;CALR;BAG5;TTC1;ANP32E;FKBP8;ERP44;HSP90AB1;ST13;ERO1B;CRYAB;NGLY1;GAK;CHORDC1;PFDN6	-0.0644913707461365	0.0644913707461365	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
protein_stabilization								Protein stabilization	OLIG2pos									RIN_complete_case_sensitivity												0.224102510119787	1.0751245883223	0.294117647058824	0.411764705882353	0.457516339869281	168	10098	27	9	0.171585015775697	0.222659841441822	1.07284744123906	0.304270462633452	0.43956442831216	0.43956442831216	172	10215	26	9	0.165107810413971	PIK3R1;CBLB;CDC37;UFL1;LAMP2;TSC1;SOX4;MARCHF7;CBL;ATP1B1;SAV1;STUB1;URI1;ZNF207;EHMT1;MFSD1;TBRG1;USP33;TRIM37;CCT8;DNAJA3;IP6K2;EGLN3;PARK7;EP300;GRN;RPAP3;CCT2;PPP1CA;NAA30;DBR1;PFDN1;USP9X;MCM8;HIP1R;BAG6;CREB1;PYURF;MTMR9;CBX4;CCT7;CTNND1;CRTAP;P3H1;SPAG1;STXBP4;MT3;LAMP1;PAK4	-0.00227714708324145	0.00227714708324145	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
axon_development								Axon development	OLIG2pos									RIN_complete_case_sensitivity												0.27411858804482	1.12307542870927	0.250915750915751	0.411764705882353	0.439102564102564	66	10098	27	9	0.171585015775697	0.262671966818511	1.07294625248043	0.313974591651543	0.43956442831216	0.43956442831216	66	10215	26	9	0.165107810413971	PAK3;NRCAM;OLIG1;PARD3;SLITRK5;PLPPR4;OLIG2;PLP1;ULK1;DCC;CAMSAP2;RYK;SLITRK2;GRM7;RAB10;CNTN4	-0.0501291762288363	0.0501291762288363	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
heat_response								Heat response	OLIG2pos									RIN_complete_case_sensitivity												-0.282349367663147	-0.893378857957374	0.600831600831601	0.700970200970201	0.700970200970201	19	10098	27	9	0.171585015775697	-0.269194988944312	-0.835983189654433	0.704225352112676	0.821596244131455	0.821596244131455	19	10215	26	9	0.165107810413971	DNAJA4;EIF2B5;DNAJA2;HSP90AA1	0.0573956683029415	0.0573956683029415	TRUE	FALSE	FALSE	FALSE	FALSE	direction_retained_global_nonsignificant
mitochondrial_energy								Mitochondrial energy	OLIG2pos									RIN_complete_case_sensitivity												0.21224376232479	0.657883082659275	0.909615384615385	0.909615384615385	0.909615384615385	18	10098	27	9	0.171585015775697	-0.236616685378106	-0.734811491638756	0.824949698189135	0.824949698189135	0.824949698189135	19	10215	26	9	0.165107810413971	UQCRH;COX7B;NDUFV3;DGUOK;MT-CO1	-1.39269457429803	1.39269457429803	FALSE	FALSE	FALSE	FALSE	FALSE	direction_flip_but_both_global_nonsignificant
