set_id	pval	padj	log2err	ES	NES	size	leadingEdge	set_label	cell_type	contrast	analysis_role	ranked_genes	n_samples	n_donors	duplicate_correlation	comparison_FDR	global_primary_FDR	supportive_global_FDR	transition_global_FDR	record_type	dataset_version_id	region	cohort_partition	donor_id
axon_development	0.418181818181818	0.975757575757576	0.16823816568964	0.179442465108648	0.996740038435874	367	SEMA3C;RTCA;MAP1A;SLC25A46;CSPG5;FEZ2;TENM3;SMURF1;MAP1B;EVL;NPTN;EPHB1;PAFAH1B1;SEMA3B;PPP3CB;PAK1;KALRN;ULK2;KIF21A;CDKL5;GOLGA4;SEMA7A;THY1;SMN1;AFG3L2;EFNA2;ANAPC2;CDK5R1;CDH1;SEMA4A;SCN1B;PTN;CYFIP1;CHN1;RAB3A;FGFR2;VANGL2;SPG11;C9orf72;SZT2;RGMA;APBB1;TUBB3;TIAM1;BRSK2;CDK5R2;PTPRS;CTTN;TRIM46;METRN;NRXN3;NEXN;VASP;CCK;EPHB2;MTR;ZPR1;PTK2;GAP43;VEGFA;OLFM1;SEMA3A;SEMA4C;L1CAM;SEMA4D;PGRMC1;DCHS2;SIPA1L1;BRSK1;FGF13;KIF5A	Axon development	Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	21399	72	37	0.45584110844829	0.975757575757576	0.585282976827095			family_result				
protein_stabilization	0.629533678756477	0.998842592592593	0.0469758727821845	-0.201187398907935	-0.931040424907337	209	PIK3R1;FLNA;TYROBP;CCNH;NOP53;CFP;PIM1;WIZ;HSPA1A;HSPA1B;WFS1;EGLN3;HCFC1;UBE2B;IP6K2;PEX19;GRN;GNAQ;ZSWIM7;PTGES3;PRKRA;TSPAN1;CREB1;SMAD7;CREBL2;POLR2E;HIP1;PYURF;CRYAB;LAMP1;SPAG1;MT3;MTMR9;CCT3;PFN1;PIM2;C10orf90;UXT;TAF9B;PML;BAG2;SAV1;CALR;CD74;IRGM;BAG1;SOX4;HSPB1;DNLZ;CHEK2;WNT10B;PARVA;BAG6;HYPK;IFT46;ZNF207;EP300;SEC16A;PHB2;CCT5	Protein stabilization	Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	21399	72	37	0.45584110844829	0.998842592592593	0.763222244133307			family_result				
heat_response	0.890243902439024	0.998842592592593	0.0711327399327894	0.169616215506083	0.756690653726675	77	DHX36;HIKESHI;ATR;GCLC;HSBP1L1;EIF2B4;EIF2B2;NOS1;TRPV4;DNAJA2;SLU7;MTOR;SUMO1;DNAJC2;EIF2S1;ATXN3;DNAJA4;GSK3B	Heat response	Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	21399	72	37	0.45584110844829	0.998842592592593	0.928963162251656			family_result				
synapse_junction	0.982456140350877	0.998842592592593	0.019974159565129	-0.159900946758131	-0.791316035350151	433	SDK1;FZD1;MAPT;RELN;PARD3;GPM6B;FLRT3;LRP4;OCLN;RAPGEF1;CDH20;MARVELD2;PCDH17;CSMD2;TLN1;GJA1;NLGN1;CAV1;EPHA7;APLNR;ERBB4;SLITRK5;RHOC;PDLIM5;FER;APOD;PCDHB6;MPP7;SDC2;RAB13;PTPN13;PAK2;ARHGAP32;CDH5;CDH2;SRGAP1;RAPGEF2;EGFLAM;JUP;GRID2;S100A10;FLCN;SMAD7;PCDHB4;CTNNA1;RNF7;CRK;EPHB3;LSAMP;SLITRK1;SYNDIG1;AMIGO1;PTPRK;PIP5K1C;LIN7B;MARVELD3;DOCK1;PLXNA1;SORBS1;KIRREL3;WDR1;ELMO1;ADGRL3;ROBO2;IL1RAP;ZDHHC2;PTK2B;LIN7C;GJC1;CRIPT;IKBKB;MUSK;ITGB4;OCEL1;RAP2A;PLXNB2;VCL;DKK1;FAM107A;TRIM47;MPDZ;LIMCH1;EFNB2;CDH18;EFNA5;ASIC2;DOCK4;MMP14;NLGN2;CDH12;FGFR1;ARL2;CARMIL3;PRICKLE1;CORO1C;ARMCX5-GPRASP2;VSIG10;ADGRL2;PEAK1;CNTNAP2;APP;NRG3;GPHN;SNAI1;ZNF703;NEGR1	Synapse/junction	Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	21399	72	37	0.45584110844829	0.998842592592593	0.98989898989899			family_result				
small_GTPase	0.998842592592593	0.998842592592593	0.0182442460385585	-0.148593679368927	-0.739075783682013	451	FAM13A;DOCK11;RELN;ARHGAP31;CDC42EP4;ARHGEF12;LRP4;RAPGEF1;GIT1;RABIF;CSNK1E;KANK1;ARHGAP24;SIPA1L2;F2R;TIAM2;AIF1;ARHGEF3;NOTCH2;RAB9A;RAPGEF4;RHOC;NOTCH1;SH2D3A;ARHGAP12;SLIT2;ARFGEF3;NGFR;ABCA1;ARHGAP30;ARHGAP32;RAB33A;RAPGEF2;RAB35;FLCN;NGF;SH3BP4;KSR1;SPRY2;CRK;CDK2;SPRY1;ARHGAP28;ARRB1;NKIRAS2;NUP62;RRAS2;ARHGEF40;FXR1;AKAP13;RIT1;DOCK1;MRAS;ARHGAP1;ELMO1;RB1;GIT2;LARGE1;ADCYAP1R1;ERAS;DOCK7;FBXO8;SIPA1;SQSTM1;AUTS2;RGL3;RASGEF1B;SGSM3;RAB30;SNTA1;ARHGAP8;SHOC2;RHEBL1;KBTBD7;TRIO;RAP2A;DOK3;GABARAP;FGD5;FGD3;DEF6;SOS1;DOCK5;RASA4B;ARHGAP11B;SIPA1L3;TNFAIP1;ARHGEF17;TP53;DOCK4;GPR55;DENND4B;NISCH;CDKN1A;DENND1A;CDC42EP1;RAPGEF3;IQSEC3;RALBP1;RACGAP1;RSU1;RRAGC	Small GTPase	Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	primary_frontal	21399	72	37	0.45584110844829	0.998842592592593	0.998842592592593			family_result				
mitochondrial_energy	0.0000000001	0.00000000035		0.641405108997336	3.05535203228201	111	SDHD;COX7A2L;VCP;ATP5ME;UQCRC1;NDUFS5;C2orf69;UQCRB;NDUFB1;COX4I1;NDUFS2;ATP5MG;ATP5F1E;ANTKMT;PINK1;CHCHD2;RHOA;COX6C;NDUFC2;UQCC3;ISCU;ATP5PF;NDUFA13;ATP5PB;NDUFA9;COX6B1;UQCR11;NDUFB8;NDUFB10;NDUFB5;NDUFA1;UQCRH;CYCS;COX7C;NDUFB9;COX6A1;NDUFA8;NDUFA2;UQCRQ;STOML2;ATP5PD;COX8A;GHITM;NDUFA5;NDUFB11;COX7A1;PARK7;NDUFB7;COX5A;ATP5F1B;COX7A2;SHMT2;UQCR10;ATP5F1D;NDUFC1;NDUFAB1;SDHAF2;NDUFB4;ATP5MF;NDUFB2;NDUFS8;ATP7A;NDUFS3;NDUFS6;NDUFA3;NDUFS7;ATP5IF1;SDHA;NDUFA11;ATP5F1A	Mitochondrial energy	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.00000000035	0.00000000095			family_result				
protein_folding	0.0000000001	0.00000000035		0.438644700344292	2.26311329971337	201	PFDN2;GFER;GRPEL2;TUBA1A;LMAN1;HSPA2;PPIE;DNAJA2;TBCB;BAG5;TBCC;PFDN1;PDRG1;ERO1A;CCT6A;HSP90AB1;ERP29;CCT8;CCT2;CHCHD4;DNAJB12;RP2;MPDU1;MESD;PFDN5;FKBP4;MKKS;RUVBL2;PFDN6;DNAJC2;CCT7;PBDC1;RIC8A;PPIL1;GRPEL1;FKBP1A;CCDC47;DNAJC18;PPIA;DNAJC25;CDC37;ARL2;HSPA14;COA3;CDC123;SDF2L1;HSPBP1;VBP1;CLPX;GRN;MOGS;TCP1;PFDN4;CCT5;WDR83OS;HSPA13;DNAJA1;CANX;TELO2;AHSA1;CRYAB;NUDCD2;SDF2;QSOX2;HSPA4;TAPBP;DNAJC10;NUDC;PPIB;KHSRP;FKBP8;HSPE1;FKBP9;SELENOF;POFUT2;HSP90B1;TOR1A;COX14;DNAJC4;BAG4;PEX19;TTC1;PPIL3;ZPR1;UGGT1;PDCL2;HSPD1;CD74;CLGN;DNAJB6;HSPA8	Protein folding	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.00000000035	0.00000000095			family_result				
protein_stabilization	0.0000000256180736726216	0.0000000597755052361172	0.73376198835648	0.378404249455862	1.95990612445624	209	PFDN2;GET1;LAMP2;PAQR4;TUBA1A;ATP1B1;SYVN1;DVL1;TNIP2;PFN2;BAG5;PFDN1;DNAAF2;PRKCD;PDRG1;CCT6A;HSP90AB1;CCT8;EFNA1;CCT2;NAA30;RABL3;DVL3;PIH1D1;PFDN5;RUVBL2;PFDN6;NAPG;CCT7;SAV1;PEX6;TRIM39;PINK1;CAMLG;STUB1;MUL1;ATP1B3;GPIHBP1;URI1;STK4;LAMP1;CDC37;PHB2;USP19;USP7;SUMO1;VBP1;SMAD7;TSPAN1;GRN;TMC6;TCP1;STX12;CCT5;BAG6;PLPP3;MSX1;TELO2;CRYAB;PARK7;PFN1;PPP1CA;PPIB;TRIM37;GAPDH;COA8;TTI2	Protein stabilization	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.0000000597755052361172	0.000000136288151938347			family_result				
heat_response	0.0000337045955830788	0.0000589830422703878	0.557332238758646	0.441217104337904	1.95390031116506	77	SLU7;HSPA2;HSBP1;DNAJA2;VCP;HSP90AB1;YWHAE;EIF2B5;DNAJC2;EIF2B2;DAXX;ATXN3;STUB1;RBBP7;HMOX1;IER5;SUMO1;TRPV4;SOD1;HDAC2;EIF2B4;AKT1;HTRA2;DNAJA1;CRYAB;LYN;DHX36;MAPKAPK2	Heat response	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.0000589830422703878	0.000101879800285215			family_result				
small_GTPase	0.165775401069519	0.232085561497326	0.257206466468838	0.189692173950474	1.07212189019795	451	RAB39B;CDC42;PPP1CC;CADM4;RAC1;NRAS;DOK1;RAB33B;ARF6;GRB2;GDI2;KRAS;HRAS;RALA;KANK2;ARHGDIA;RABL3;NUCB1;RHOJ;MADD;DVL3;TGM2;RRAGC;HACD3;RAPGEFL1;PSD2;TNFAIP1;COL1A2;GDI1;ITGAV;SYNGAP1;KBTBD6;RHOA;EPS8L2;RHOG;CDK2;BRK1;NKIRAS1;FAM13B;PLD2;NKIRAS2;RAB6C;CFL1;CRKL;STMN3;RACGAP1;KCTD10;ARHGEF4;RRAD;SPRY4;SRC;RAP2C;TEK;GABARAP;ARHGAP29;SQSTM1;ABR;RAB39A;RAB4B;RGL4;MFN2;KBTBD7;RHOH;PARK7;RASIP1;CDC42EP2;MICALL2;SIPA1;PREX2;CDH13;RAB15;CDC42SE1;DHCR24;RND2;NUP62;RRAS;DOCK8;PPP1CA;PLCE1;DAG1;CXCL13;CDC42EP1;BCAR3;SYDE1;RALB;EPS8;CHN1;RALGDS;RAP2B;RASL10A;RASL12;ARFIP2;RAB4A;TAX1BP3;RTKN;ADGRG1;RAB9A;PLCD4;GMIP;RASA4;RAB21;WASF1;RDX;DOCK6;USP50;PIN1;VAV1;PRAG1	Small GTPase	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.232085561497326	0.265640100508988			family_result				
axon_development	0.692708333333333	0.808159722222222	0.116739204791222	0.17340601423645	0.95302978877226	367	VANGL2;STK11;CERS2;RAC1;PGRMC1;METRN;SEMA7A;CDK5R1;NPTN;PLP1;NEXN;LLGL1;SPP1;OLIG2;RAB8A;FEZ2;EFNA1;SCN1B;VASP;APLP2;CTTN;SEMA4C;TWF2;MAP1S;RGMA;LYPLA2;GDI1;MAP1A;MEGF8;SSNA1;TSPO;CSPG5;ATOH7;BRSK2;EPHA10;WNT7A;EFNA2;KIF5A;NLGN3;GRN;PPP3CB;LMO4;DCC;CELSR2;RAB3A;TAOK2;C12orf57;SMN2;S100A6;PLXND1;AFG3L2;APLP1;PLA2G10;ZFYVE27;CDK5R2;NOVA2;DAG1;PLXNC1;OLIG1;ACTG1;THY1;SIAH1;CHN1;CDH1;DHFR;CASP3;TRPC5;APBB1;SLC25A46;FEZ1;BDNF;YTHDF1;RAB21;TENM3;ZPR1;ANAPC2;SEMA6C;APOD;TUBB3;ACTB;PLXNB1;TENM1;SLC9A6	Axon development	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.808159722222222	0.815202231520223			family_result				
synapse_junction	0.854166666666667	0.854166666666667	0.103197466945307	0.162649846215467	0.916974831165373	433	EIF4G1;CLSTN1;VPS35;CDC42;SFRP1;RAC1;FBXO45;SIGMAR1;ARF6;CLDN11;DVL1;EPB41L3;LRFN4;FSCN1;DAPK3;LRFN3;POLDIP2;FLOT1;GJB1;UBE2M;CHD4;CTTN;SEMA4C;ZDHHC12;NCKIPSD;LIN7C;LDB1;GREM1;SKP1;CD9;RHOA;LRRC24;RHOG;TRIM47;NRXN2;RCC2;SDC4;ARL2;HIPK1;TRPV4;SPTBN2;SMAD7;CFL1;CRKL;WNT7A;HTR4;TSPAN11;ZDHHC8;RAMP2;NLGN3;AKAP5;EEF2K;SRC;TEK;NEDD8;PPM1F;TAOK2;CAPZA1;THBS2;AMIGO2;GHRL;PLXND1;MICALL2;LRRC4;PCDHB10;CDH13;S1PR2;PLEC;DAG1;LGI2;PLXNC1;ACTG1;THY1;CTNNB1;FN1;CLDN5;TLN1;CDH1;UGT8;LRRTM1;GABRG3;ACHE;PCDHB4;SHANK3;ITGA6;BDNF;CRMP1;LATS1	Synapse/junction	Oligo	C9_ALS_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.854166666666667	0.923611111111111			family_result				
protein_folding	0.0000174708804784764	0.000122296163349335	0.575610261071129	0.353230095843704	1.76135842209651	201	GRN;PEX19;CRYAB;TBCB;ARL2;HSPA2;CANX;FKBP4;GFER;MPDU1;AHSA1;PFDN4;PTGES3;CCT5;ST13;MOGS;PDRG1;TTC1;TXNDC5;CHCHD4;DNAJB6;TBCC;DNAJA1;CD74;GRPEL2;HSPA1A;GRPEL1;PPIB;CCT3;CCDC47;BAG1;PFDN6;ERP29;RIC8A;CALR;HSPA13;VBP1;HSPA5;COA3;P4HB;WDR83OS;BAG2;HSPA1L;CCT7;FKBP1C;HSPE1;HSPA1B;HSPA8;FKBP1A;TCP1;ALG12;TUBA1A;PBDC1;FKBP5;HSP90B1;CHORDC1;NPPA;DNAJB12;QSOX2;KHSRP;PPIF;SDF2L1;DNAJB7;HSP90AA1;DNAJC18;TOR1A;PPIC;HSP90AB1;NAA10;HYPK;NUDC;FKBP8;CCT4;RUVBL2;PFDN1;HSPA14;PFDN2;CCT2;HSPA9;PDCL3;HSPBP1;PDIA3;DNAJC7;LYRM7;DNAJB1;DNAJB4;TELO2;HSPB1;TBCE	Protein folding	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.000122296163349335	0.0000566738317960331			family_result				
protein_stabilization	0.0000862964894300373	0.000223795374608896	0.538434096309916	0.343993015438786	1.72783148209309	209	LAMP2;NOP53;GRN;FLNA;SMAD7;TSPAN1;LAMP1;SAV1;PEX19;CRYAB;PIM1;PFN1;PAQR4;PHB2;CFP;BAG6;PTGES3;CCT5;UXT;EFNA1;POLR2E;MT3;PEX6;PDRG1;CD74;PIM2;PYURF;PPP1CA;HSPA1A;TYROBP;EGLN3;SYVN1;PPIB;CCT3;TAF9B;WIZ;SOX4;TNIP2;USP19;ATP1B1;BAG1;WFS1;PML;PIH1D1;PFDN6;MUL1;CALR;SPAG1;IP6K2;VBP1;CREBL2;HCFC1;BAG2;CCT7;PRKCD;STX12;HSPA1B;TCP1;TMC6;PRKRA;TUBA1A;GET1	Protein stabilization	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.000223795374608896	0.000249509415091195			family_result				
mitochondrial_energy	0.0000959123034038124	0.000223795374608896	0.538434096309916	0.398091877454118	1.78545509256534	111	NUPR1;RHOA;ETFRF1;NDUFS7;SDHD;COX6B2;CYC1;ATP5ME;C2orf69;ATP5PF;SHMT2;CDK1;ATP5F1D;UQCRC1;NDUFS2;UQCR11;VCP;STOML2;ANTKMT;ATP5MG;PPIF;COX5B;NDUFB10;CHCHD2;ISCU;UQCRB;NDUFA13;NDUFA2;NDUFS8;COX7B2;UQCR10;COX7C;NDUFB2;ATP5PO;UQCC3;COX6A1;NDUFC2;NDUFB7;NDUFB9;SDHAF2;NDUFAF1;NDUFA1;MLXIPL;ATP5PD;NDUFA11;ATP5F1E;PARK7;SIRT3;UQCRQ;UQCRFS1;NDUFB3;NDUFC1;ATP7A;COX7A2;PINK1;ATP5MF;NDUFB11;CCNB1;NDUFB6;COX6B1;NDUFA12;NDUFA6	Mitochondrial energy	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.000223795374608896	0.000271411411759724			family_result				
heat_response	0.00561771963499043	0.00983100936123326	0.407017918923954	0.373671633827325	1.58749927976372	77	CRYAB;HSPA2;HTRA2;EEF1D;HSBP1;PSIP1;MAPT;DNAJB6;DNAJA1;HSPA1A;RBBP7;HDAC2;DAXX;CREBBP;IER5;AKT1;SOD1;HSPA1B;LYN;VCP;CHORDC1;CLPB;STUB1;YWHAE;HSP90AA1;MAP2K7;HSP90AB1;SLU7;ANO1;MAPKAPK2;EIF2B5;MICA;DNAJC7;DNAJB1;DNAJB4;HSPB1;PRKACA	Heat response	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.00983100936123326	0.0120509147008666			family_result				
small_GTPase	0.294573643410853	0.412403100775194	0.107972360317345	0.193037278772947	1.0488032627198	451	ARHGAP24;GIT1;PPP1CC;RAB9A;FAM13A;ARHGAP31;CDK2;RABIF;NKIRAS2;RRAGC;TNFAIP1;NUP62;SQSTM1;RHOC;GABARAP;LRP4;RALA;SIPA1;RHOA;RACGAP1;KBTBD7;RAC1;COL1A2;DOCK11;RAB35;ARHGDIA;CDC42EP1;KRAS;PPP1CA;RAP2A;KBTBD6;GDI1;CRKL;ARHGEF3;TIAM2;SPRY4;SPRY2;BRK1;CFL1;RAB33A;CRK;RIT1;ARF6;RALGDS;RDX;NOTCH1;F2R;NOTCH2;CDC42EP4;RHOH;CSNK1E;RALBP1;CADM4;ARHGAP12;RELN;KANK2;SGSM3;RAB33B;ARHGAP11B;NISCH;RAB39B;FLCN;SYDE1;ARFIP2;DVL2;SH2D3A;FXR1;CDC42EP2;ARHGAP28;SIPA1L2;RAPGEFL1;RASIP1;PDPN;RTKN;ABCA1;ARHGAP30;SPRY1;CHORDC1	Small GTPase	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.412403100775194	0.455561564809807			family_result				
axon_development	0.49438202247191	0.576779026217229	0.0762797180809272	0.184606582832213	0.988826654715216	367	PTPRM;SSNA1;GRN;OLIG1;SPP1;APOD;EFNB1;FLRT3;CERS2;MAP1S;STK11;S100A6;GPM6B;LRP4;DCC;PLP1;MEGF8;LLGL1;RAC1;APLP2;CELSR2;EFNA1;VIM;MT3;ITGA4;MAPT;SEMA3E;ATL1;PTCH1;MYOT;CTNNA2;SVBP;JUP;TENM1;GDI1;PAK2;TIAM2;EPHB3;RAB8A;PARD3;PLXNB2;STK24;NOTCH1;TSPO;NOTCH2;SMO;PLA2G10;RELN;C12orf57;BSG;OLIG2;NTN4;CNTN1;SEMA3D;EPHA10;LYPLA2;VANGL2;APLP1;TNR;SEMA4B;SLITRK1;LMO4;SLITRK5;AMIGO1;PGRMC1;EFNA3;TRPV2;SEMA3F;LGR6;ANOS1;ULK1;GLI2;FEZ1;DHFR;CSF1R;RAB10;TWF2;RAB21;PLXNA3;FIGNL2;NRP2;EFNB2;TAOK2;ZFYVE27;ATOH7	Axon development	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.576779026217229	0.644635382242785			family_result				
synapse_junction	0.834285714285714	0.834285714285714	0.0517405459873163	0.166178097231303	0.901658446589466	433	TLN1;SDK1;SFRP1;FZD1;SMAD7;APOD;LIN7C;OCLN;FLRT3;FSCN1;PCDHB4;TRIM47;GRID2;RHOC;GPM6B;ARL2;LRP4;S100A10;SDC2;RHOA;RAC1;APLNR;CD9;MAPT;JUP;RAP2A;GJA1;PAK2;MARVELD2;CRKL;EPHB3;MMP14;CRIPT;CFL1;CRK;PARD3;ARF6;PLXNB2;FBXO45;POLDIP2;NLGN2;RAB13;RNF7;ZNF703;CAV1;SNAI1;RELN;OCEL1;PTPN13;FLCN;SIGMAR1;PLXNA1;DKK1;S1PR2;GJC1;VCL;PCDH17;PPP1R9B;SLITRK1;SLITRK5;FZD5;AMIGO1;SKP1;RHOG;IL1RAP;CDH20;CLDN11;RAPGEF1;GJB1;EIF4G1;WDR1;DVL1;HIPK1;CTNNB1;SRC;FAM107A;ECT2;CARMIL3;SDC4;UGT8;PLXNA3;ITGA6;ZDHHC8;EFNB2;TAOK2;MARVELD3;CLSTN1;LRFN4;EGFLAM;LIN7B;ITGB4;CRTAC1	Synapse/junction	Oligo	C9_FTD_vs_Ctrl_Frontal	primary_frontal	21399	72	37	0.45584110844829	0.834285714285714	0.909508196721312			family_result				
mitochondrial_energy	0.0000000568621948039072	0.000000398035363627351	0.719512826338911	-0.494926326848214	-2.17824530583219	107	NDUFS5;NDUFV2;NDUFA9;NDUFB5;NDUFS6;ATP5F1C;ISCU;COX6C;NDUFA5;COX8A;NDUFA11;MLXIPL;COX7A2L;DGUOK;DNAJC30;COX6A1;NDUFB8;NDUFB7;SNCA;NDUFC2;ATP5PO;ANTKMT;CYCS;GHITM;UQCRH;UQCRC1;ATP5PB;ATP5F1A;NDUFAB1;ATP5MF;UQCR11;NDUFA3;COX7B;NDUFA2;NDUFB1;COX6B1;ETFRF1;NDUFB3;ATP5IF1;SDHB;COX4I1;NDUFS8;ATP5PF;NDUFA1;NDUFB4;COX7A2;PARK7;NDUFA10;SDHA;COX5A;UQCRFS1;ATP5F1E;NDUFB11;ATP5MG;NDUFV1;UQCC3;UQCRB;NDUFV3;NDUFS7;NDUFA12;CHCHD2;ATP5ME;NDUFC1;COX7A1;COX5B;SDHAF2	Mitochondrial energy	Vascular	C9_FTD_vs_Ctrl_Frontal	primary_frontal	14637	54	34	0.278551726441978	0.000000398035363627351	0.000000270095425318559			family_result				
axon_development	0.000134512778629411	0.000470794725202939	0.518848077743792	-0.306910009140052	-1.5646945563837	332	GAP43;PRKCQ;THY1;MAP1A;KIF5C;MAP7D2;LMO4;SLITRK1;DCLK1;JAK2;EFNB3;OLFM1;RAB3A;FLRT3;SCN1B;NEFH;NEUROD6;KIF5A;CCK;INPP5F;TUBB3;NREP;BRSK1;STXBP1;BDNF;DCHS2;ROBO2;MAP2;NELL2;RTCA;SZT2;APLP1;FEZ1;MCF2;BHLHE22;EVL;CDK5;EPHA5;CDK5R1;LRRC4C;TENM2;C9orf72;ARHGAP4;UNC5A;PAK1;SEMA6D;FGF13;CSPG5;CHRNB2;MTR;NRCAM;CHN1;PGRMC1;RTN4RL2;SLITRK4;NOTCH3;B4GALT6;LGI1;SEMA3G;CNTNAP1;SVBP;LIMK1;GRM7;EDN1;NPTX1;CTNNA2;NRXN3;ZFYVE27;NEUROD2;AFG3L2;KIAA0319;NPTN;ATL1;CYFIP2;MAP1B;KIAA1755;FZD3;SPTBN4;EPHB6;MYCBP2;SLITRK5;SEMA3A;CDK5R2;SPAST;DSCAM;CXCL12;BMPR2;KIF21A;UNC5D;RAC3	Axon development	Vascular	C9_FTD_vs_Ctrl_Frontal	primary_frontal	14637	54	34	0.278551726441978	0.000470794725202939	0.000365106113422688			family_result				
small_GTPase	0.0643454999594238	0.150139499905322	0.287805130535564	0.211148557692958	1.17634676207004	409	FGF10;ARHGEF19;RGS19;CDC42EP4;RRAGC;LRP4;ARHGAP33;ARAP1;CSNK1E;KSR1;PLD2;CDKN1A;TIAM2;GNA13;RHOQ;RHOG;SIPA1L3;SRGAP2;NTN1;RASGEF1B;RACGAP1;CCDC125;DENND4A;PLEKHG4B;RELN;RASA2;FAM13A;RALGAPA2;FLCN;RB1;RALB;MYO9A;GIT1;ARHGEF2;DENND4C;FXR1;FGF2;RGL3;DVL3;DOCK9;AGTR1;CDC42EP1;SNTA1;DOCK11;RGL2;PLXNB1;CRK;SOS2;ARHGAP1;CHORDC1;RHOB;ARF6;CRKL;DOCK1;EPS8;DAG1;SYDE1;RIT1;OBSCN;RAF1;RAPGEF2;ARHGAP21;GNA12;PSD2;ARHGAP5;DOCK5;RIPOR2;EPS8L2;RHOA;RAPGEF6;CYFIP1;ARHGEF10L;ARFGEF2;ARHGAP31;ABR;SQSTM1;RTKN;CDC42SE1;FAM13B;AUTS2;GABARAP;ARHGAP24;RALGAPB;ECT2;NOTCH1;RIN2;ARHGEF1;SOS1;ARHGAP6;RDX;ELMO1;CHM;HACE1;KRAS;CSNK1A1;ARHGEF28;RASIP1;KANK2;VAV3;ARHGAP12;KCTD10;RRAS2;RIPOR1;DENND3;LAMA1;DOCK4;RAP1A;WNK1;SWAP70;MAP4K4;RAPGEF3;ARHGAP10;RAP2A;DENND1A;RAB12	Small GTPase	Vascular	C9_FTD_vs_Ctrl_Frontal	primary_frontal	14637	54	34	0.278551726441978	0.150139499905322	0.115647993170316			family_result				
protein_folding	0.516535433070866	0.744	0.0653834195468773	-0.206543508210841	-0.981569675174157	185	TAPBP;DNAJA2;FKBP1B;ENTPD5;CD74;LYRM7;ARL2;DNAJC24;DNAJC21;GRPEL1;PPIL2;ANP32E;AIFM1;HSPA2;BAG4;CCT6A;FKBP8;PDIA2;CCDC47;BAG1;PPIL3;ATPAF2;PPIG;PPIH;HSPA9;CDC123;TTC4;DNAJB11;DNAJC4;PPIB;DNAJC3;PPIE;PEX19;CANX;UNC45A;CLPX;FKBP9;TBCE;DNAJA4;NUDCD2;PDCD5;PFDN1;SDF2	Protein folding	Vascular	C9_FTD_vs_Ctrl_Frontal	primary_frontal	14637	54	34	0.278551726441978	0.744	0.664335664335664			family_result				
heat_response	0.595993322203673	0.744	0.0613026075396207	-0.224195312588145	-0.928214543429267	77	TRPA1;ATR;DNAJA2;IRAK1;TRPM2;MAP2K7;FGF1;THBS1;HSPA2;STUB1;TRPV4	Heat response	Vascular	C9_FTD_vs_Ctrl_Frontal	primary_frontal	14637	54	34	0.278551726441978	0.744	0.740814129468117			family_result				
