set_id	pval	padj	log2err	ES	NES	size	leadingEdge	set_label	cell_type	contrast	analysis_role	ranked_genes	n_samples	n_donors	duplicate_correlation	comparison_FDR	global_primary_FDR	supportive_global_FDR	transition_global_FDR	record_type	dataset_version_id	region	cohort_partition	donor_id
protein_stabilization	0.0283475002732635	0.0496081254782112	0.352487857583619	-0.256597376015275	-1.28759873486368	208	CLU;CBLB;RAB21;PPP1R10;WFS1;EGLN3;MCM8;BAG3;COG3;CREB1;PDCD10;HSPA1B;HSPA1A;PRKN;ANK2;HCFC1;NAA30;SEL1L;PLPP3;HSPB1;USP33;HPS4;GNAQ;C10orf90;LAMP1;LAMP2;USP9X;TBL1X;CALR;USP13;EP300;CCNH;CTNND1;TRIM39;UBE2B;VHL;MTMR9;STX12;PEX19;SAXO1;PPARGC1A;UFL1;ATM;PARVA;DBR1;WIZ;CDC37L1;GTPBP4;PTEN;CDK7;CREBL2;FBXW7;PRKRA;CEP63;NLK;CBX4;ATP1B2;STK3;SPAG1;STXBP4;ZBED3;RABL3;PDRG1;SWSAP1;ZNF207;PTGES3;MDM4;COG7	Protein stabilization	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.0496081254782112	0.0538602505192007			family_result				
synapse_junction	0.137254901960784	0.192156862745098	0.188204146308491	0.197184628196435	1.11004909564954	441	THSD1;SFRP1;DRD2;ICAM5;APOD;MMP14;EPHA3;WNT7A;PPM1F;BDNF;LRRC4B;ZDHHC8;ILDR1;LGI2;SEMA4C;THBS2;FLOT1;VLDLR;DRD1;MAP1B;CAMSAP3;MICALL2;CORO2B;GABRA5;FSCN1;LRRTM2;CDH22;AKAP5;UGT8;THY1;EPB41L3;FGF13;CNTNAP1;ACHE;GHRL;FLRT3;NTN1;CRTAC1;APP;CLDN11;NRXN2;RTN4RL2;MAPT;FN1;TAOK2;CBLN4;FRMPD2;COL16A1;SLC12A5;ASIC1;CRMP1;SYNDIG1;GABRA1;SPTBN2;APLNR;ARHGAP33;RCC2;LRFN3;ADD2;PLXND1;RTN4RL1;DAPK3;GABRB2;GABRG2;LRRC4;UBE2M;RAC1;CD9;EPHA2;SLITRK3;CDK5;PDZD11;PRICKLE1;SLITRK4;CDH7;CLSTN3;TRIM47;NTNG2;NECTIN1;SNCA;FBXO45;CC2D1A;LSR;CLSTN2;EPHB1;NPHS1;CASKIN1;LZTS1;LRFN4;TESK2;WNT4;GJB1;GAP43;ESAM;SHANK2;ACE;DVL1;RAB40C;RELN	Synapse/junction	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.192156862745098	0.224532409258519			family_result				
heat_response	0.381679389312977	0.44529262086514	0.0913924325943768	-0.244546965454351	-1.04063156879556	78	HMOX1;HSPB2;BAG3;IRAK1;HSPA1B;HSPA1A;HSPB1;HSF1;HSPA2;DNAJB4;EP300;GCLC;GSK3B;DNAJB1;SCN11A;ATM;SIRT1	Heat response	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.44529262086514	0.551775638898108			family_result				
protein_folding	0.7825311942959	0.7825311942959	0.0516355964484201	-0.177465278161904	-0.886134002447568	198	CLU;CWC27;HSPB2;ATF6;ERP44;CLPX;BAG3;ERO1B;HSPA1B;FKBP5;HSPA1A;DNAJB14;HSPB1;HSPA2;CALR;DNAJB4;HSPA1L;HSPA9;NFYC;CCT6B;CANX;LMAN1;SELENOF;LYRM7;DNAJB1;APLF;CMC1;PEX19;TBCD;ST13;ANP32E;RANBP2;P4HB;COX19;CDC37L1;RIC8B;HSPA8;PDIA3;HSPA4L;HSPA5;QSOX1;RIC8A;PPIL2;PDRG1;PPIAL4G;CCDC47;PTGES3;TXNDC5;FKBP6;TAPBP;ENTPD5;GRN;TRAP1;ERO1A	Protein folding	Astro	C9_ALS_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.7825311942959	0.867801418439716			family_result				
small_GTPase	0.000042416751055371	0.000296917257387597	0.557332238758646	0.296867152232508	1.5450456354864	452	MRAS;ADCYAP1R1;RASGRP2;SRGAP2;F2RL1;RIPOR2;RHOBTB1;DOK3;WNT5A;DOCK11;SIPA1;KCTD13;ARHGEF4;PSD2;SH2D3C;ARRB1;MCF2L;CCNA2;CYFIP1;F2R;NOTCH1;KSR1;DOCK9;SNTA1;RND2;SRC;AIF1;SYNGAP1;RAB9A;RHOD;PPP1CC;RGL3;CDC42EP4;FLCN;ABR;RHOA;DENND1A;SCAI;RASGEF1C;RAC3;BCAR3;SIPA1L1;GIT1;RAPGEF1;ARAP1;DOCK8;CCDC125;ARHGAP33;HEG1;RGL2;ARHGEF1;CDC42SE2;SPATA13;STARD13;IQSEC1;RAB15;TNS3;EPHB2;GNA13;RAB39A;KBTBD6;RELN;RAB3GAP1;RABIF;WNK1;ARL3;SIPA1L3;RIPOR1;SGSM3;CUL3;MYO9B;SHTN1;PLEKHG4B;ARHGEF10;PSD4;RAPGEF2;RASAL1;KANK1;ARHGAP25;RTN4R;ARHGAP22;RGS19;RAB35;RASGEF1A;DAG1;ARHGAP15;CRKL;IGF1;CRK;ARHGAP23;PLEKHG5;RASA4;TIAM1;ARHGEF18;CYTH4;CXCL13;WASF1;LRP4;DENND4B;NOTCH2;ELMO1;SWAP70;RHOC;PLEKHG1;KRAS;CDKL5;SYNPO2;ARHGAP35;PHACTR4;RHOG;FGD2;DOCK6;NISCH;LZTR1;RACGAP1;RASL12;DOCK10;FAM13A;RHOQ;RHOF;ARHGAP6;PLXNB1;AUTS2;RASA4B;FGD4;TNK2;KANK2;KBTBD7;SH2D3A;BRAP;TIAM2;RAB30;PICALM;TGFB2;MADD;ITGA3;NUP62;DENND3;LAT;RAB33A;RB1;SYDE1;ARHGEF25;SEMA4D;GIT2;ARHGDIA;ARHGEF10L;PIK3CB;MICALL2;RAB39B;PKP4;RAP2B	Small GTPase	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.000296917257387597	0.000125365064230319			family_result				
mitochondrial_energy	0.000639224951885859	0.00223728733160051	0.477270815362862	-0.371057252680362	-1.69094747786513	109	NDUFA9;DGUOK;ATP5F1C;NDUFS4;UQCRC2;NDUFV2;COX7B;SDHB;ATP5ME;UQCRB;COX7A2L;SLC25A51;NDUFA10;NDUFV1;NDUFB6;NDUFA6;UQCR10;ATP7A;ATP5PO;DNAJC30;ATP5IF1;NDUFS5;ATP5PB;NDUFA5;ATP5F1B;NDUFB3;UQCRFS1;NDUFV3;GHITM;ATP5F1A;PINK1;NDUFA3;NDUFB4;NDUFA12;ATP5PD;COX7C;ATP5MG;COX5B;NDUFA7;NDUFS6;COX6C;COX7A1;COX8A;NDUFA8;ATP5F1E;COX5A;ATP5MF;NDUFA2;NDUFB5;CHCHD2;UQCRH;UQCRQ;NDUFS1;TEFM;COX4I1;UQCRC1;NDUFC1;SHMT2;ISCU;NDUFS3;COX6B1;NDUFB8	Mitochondrial energy	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.00223728733160051	0.00157438738149665			family_result				
synapse_junction	0.00633941411459966	0.0116973922988585	0.407017918923954	0.251126548123399	1.30057196334766	441	MDGA1;SRGAP2;SPOCK2;TSPAN11;SRGAP2C;GPM6B;AMIGO2;SYNDIG1;GRIA1;FRMPD2;WNT5A;GJA1;IKBKB;PCDHB16;CLDN18;LRRC4B;SRC;CRIPT;PLXNA3;AGRN;PLEC;RHOD;FAM107A;FLCN;PLXNA1;RHOA;OCLN;PECAM1;RAC3;RCC2;THSD1;WNT7A;RAPGEF1;SRGAP2B;ZDHHC8;JUP;APLNR;NRXN2;ARHGAP33;TLN2;PPM1F;TAOK2;SLITRK5;NLGN1;PTPRJ;EPHB2;GNA13;MPDZ;LRRC4;NECTIN3;SDK2;RELN;CAMSAP3;SRGAP1;S100A10;PTPRS;PARD3;PLXNA2;CDH4;DLG5;RAPGEF2;PATJ;RTN4R;IGSF11;AMOT;APP;DAG1;CRKL;CRK;PKP2;DRD2;LRP4;LIN7B;ELMO1;LRFN4;RHOC;SDK1;SORBS1;CDH20;MYO1C;NPHP1;GPC4;NLGN2;RHOG;PIP5K1C;NPHS1;ACE;LRFN1;FGFR1;DOCK10;NTNG2;TRPV4;CDH7;ARHGAP6;CAV1;PLXNB1;ANK2;FBXO45;ASIC1;PLXNB2;APOD;EPHA3;PCDHB10;FZD1;ACHE;CPEB3;ITGA2;EEF2K;SHANK3;LIN7A;DMTN;ARL2;PCDHB9;SEMA4D;PARD6B;CUX2;FER;ESAM	Synapse/junction	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.0116973922988585	0.013383207575266			family_result				
axon_development	0.00668422417077628	0.0116973922988585	0.407017918923954	0.261788975914142	1.33345184573698	364	LLGL1;SEMA3D;GPM6B;TENM3;WNT5A;CSF1R;MARK2;PTCH1;KIAA0319;SPP1;CYFIP1;LGI1;NOTCH1;VASP;FZD3;VASH2;NRP2;ROBO4;NPTN;TSPO;PLXNA3;SEMA6C;RAC3;SIPA1L1;BAIAP2;DRAXIN;CTNNA2;CHODL;WNT7A;SMO;ECE1;LGR6;PLPPR4;JUP;EFNB1;TAOK2;SLITRK5;METRN;TWF2;PTPRJ;EPHB2;MAP2;RELN;SKIL;GRM7;PTPRS;EMB;PARD3;DNM2;RNF6;NFIB;NPR2;MAP1S;MAP6;SHTN1;PLEKHG4B;NEXN;NTRK2;NOVA2;SVBP;EPHA4;RTN4R;KIF5C;APP;VIM;DAG1;SLIT3;CXCL12;NCAM1;DCLK1;SEMA3C;RAB8A;PRKG1;KIFC2;TIAM1;SEMA6B;DRD2;DHFR;LRP4;NOTCH2;ULK1;ATL1;BOC;STXBP1;EFNA4;CELSR3;CDKL5;ARHGAP35;CSPG5;MGARP;GRN;CNTN1;COBL;NTNG2;SEMA4G;MEGF8;PLXNB1;AUTS2;TIAM2;RAB10;PLXNB2;LYPLA2;SMN2;PICALM;APOD;EPHA3;S100A6;ISLR2;TNR;STK11;ARHGEF25;ENAH;SEMA4D;PARD6B	Axon development	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.0116973922988585	0.0137635190727288			family_result				
heat_response	0.471092077087794	0.659528907922912	0.0860347242455604	-0.228049642463837	-0.983825350789902	78	DHX36;SCN11A;EIF2B2;DNAJA3;GSK3B;EIF2S1;TPR;PDCD6;EIF2B4;DNAJC7;DNAJA4;ATR;DNAJA2	Heat response	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.659528907922912	0.626552462526767			family_result				
protein_stabilization	0.749379652605459	0.874276261373036	0.0694481442003175	-0.182805878729692	-0.911886472474558	208	RPAP3;CTNND1;OTUD3;SAXO1;DNAJA3;UFL1;USP33;STK3;TRIM39;ATP1B2;RABL3;USP9X;URI1;RTN4;RAB21;CEP63;PDCD10;TSC1;UBE2B;TBRG1;CDK7;COG3;PER3;GTPBP4;CDC37;GNAQ;SMAD3;HSPD1;PML;GLMP;CSNK2A1;SOX4;TAF9;TAF1;DNLZ;SEC16A;USP36;NAA30;ZBED3	Protein stabilization	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.874276261373036	0.85185892133783			family_result				
protein_folding	0.962871287128713	0.962871287128713	0.0572461135202885	-0.16108917110705	-0.798267929106297	198	CCT6B;DNAJC10;FKBP9;RIC3;PPIL3;DNAJC21;ANP32E;DNAJB5;DNAJA3;PDCD5;NGLY1;UNC45A;TBCEL;DNAJC7;TSC1;DNAJA4;PPIL2;CDC37;DNAJA2;DNAJC4;ENTPD5;HSPD1;CSNK2A1;TTC4;DNAJB14;DNLZ;SELENOF;NKTR;POFUT2;ZPR1;PPIC;FKBP6;PPIH;ERO1A;CRTAP;ERP44;WIPF1;TXNDC5;BAG1;P3H1;TBCC;HSPA4L;DNAJC3;DNAJB11;PPIG;ATF6;GAK;CDC37L1;BAG3	Protein folding	Astro	C9_FTD_vs_Ctrl_Frontal	primary_frontal	20866	72	37	0.459689963681544	0.962871287128713	0.98509139375476			family_result				
