estimand	cell_type	family_id	family_label	effect_discovery	adjusted_p_discovery	loo_direction_fraction_discovery	effect_replication	adjusted_p_replication	loo_direction_fraction_replication	same_direction	both_global_FDR_0_05	replication_class
ALS_vs_FTD	OPC	small_GTPase	Small GTPase	-1.41598854946698	0.0209085896390258	1	-1.73890158493508	1.05707760431561e-06	1	TRUE	TRUE	bidirectional_global_FDR_concordant
ALS_vs_FTD	OPC	synapse_junction	Synapse / junction assembly	-1.84747532200089	0.000798082707668802	1	-2.01801819925782	9.5e-10	1	TRUE	TRUE	bidirectional_global_FDR_concordant
ALS_vs_FTD	Oligodendrocyte	axon_development	Axon development	-1.88157198157206	0.000771636743470135	1	0.996740038435874	0.585282976827095	0.783783783783784	FALSE	FALSE	discordant_direction
ALS_vs_FTD	Oligodendrocyte	heat_response	Heat response	-0.93445139239187	0.596562425399857	0.941176470588235	0.756690653726675	0.928963162251656	0.810810810810811	FALSE	FALSE	discordant_direction
ALS_vs_FTD	Oligodendrocyte	mitochondrial_energy	Mitochondrial energy	-2.19372712824255	0.000562972475906921	1	1.39835386764301	0.014916121643777	1	FALSE	TRUE	discordant_direction
ALS_vs_FTD	Oligodendrocyte	protein_folding	Protein folding	-1.58964458798259	0.00291577850936384	1	1.01939024359638	0.580599209631468	0.945945945945946	FALSE	FALSE	discordant_direction
ALS_vs_FTD	Oligodendrocyte	protein_stabilization	Protein stabilization	-1.43802007800456	0.0115983391643918	1	-0.931040424907337	0.763222244133307	0.675675675675676	TRUE	FALSE	discovery_significant_direction_supported
ALS_vs_FTD	Oligodendrocyte	small_GTPase	Small GTPase	-1.49296886697339	0.0087246776880107	1	-0.739075783682013	0.998842592592593	0.297297297297297	TRUE	FALSE	discovery_significant_direction_supported
ALS_vs_FTD	Oligodendrocyte	synapse_junction	Synapse / junction assembly	-1.34846461211024	0.116306932801745	1	-0.791316035350151	0.98989898989899	0.621621621621622	TRUE	FALSE	direction_only
FTD_vs_Control	Astrocyte	axon_development	Axon development	1.64793064899862	0.00584735676352736	1	1.33345184573698	0.0137635190727288	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Astrocyte	heat_response	Heat response	1.44428495452126	0.0750178613955704	1	-0.983825350789902	0.626552462526767	0.783783783783784	FALSE	FALSE	discordant_direction
FTD_vs_Control	Astrocyte	mitochondrial_energy	Mitochondrial energy	0.774592021664811	0.787539936102236	0.6875	-1.69094747786513	0.00157438738149665	1	FALSE	FALSE	discordant_direction
FTD_vs_Control	Astrocyte	protein_folding	Protein folding	1.84419732639559	6.4375098727079e-05	1	-0.798267929106297	0.98509139375476	0.837837837837838	FALSE	FALSE	discordant_direction
FTD_vs_Control	Astrocyte	protein_stabilization	Protein stabilization	1.62237930103362	0.000916648049200791	1	-0.911886472474558	0.85185892133783	0.864864864864865	FALSE	FALSE	discordant_direction
FTD_vs_Control	Astrocyte	small_GTPase	Small GTPase	1.67635785211178	0.000490430425460588	1	1.5450456354864	0.000125365064230319	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Astrocyte	synapse_junction	Synapse / junction assembly	1.62158793371156	0.0127317654003532	1	1.30057196334766	0.013383207575266	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	OPC	axon_development	Axon development	2.28832436912744	4.38268536778105e-06	1	1.56079971579756	9.33930923128156e-05	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	OPC	heat_response	Heat response	1.65287895721478	0.0319449600939783	1	0.836141793286992	0.867801418439716	0.891891891891892	TRUE	FALSE	discovery_significant_direction_supported
FTD_vs_Control	OPC	mitochondrial_energy	Mitochondrial energy	1.65964428122134	0.030405493138356	1	-1.35389320460953	0.077619646600505	1	FALSE	FALSE	discordant_direction
