cell_type	threshold	minimum_nuclei	analysis_role	set_id	set_label	NES_ALS_vs_Ctrl_mean	NES_ALS_vs_FTD_mean	NES_FTD_vs_Ctrl_mean	pval_ALS_vs_Ctrl_mean	pval_ALS_vs_FTD_mean	pval_FTD_vs_Ctrl_mean	comparison_FDR_ALS_vs_Ctrl_mean	comparison_FDR_ALS_vs_FTD_mean	comparison_FDR_FTD_vs_Ctrl_mean	global_primary_FDR_ALS_vs_Ctrl_mean	global_primary_FDR_ALS_vs_FTD_mean	global_primary_FDR_FTD_vs_Ctrl_mean	disease_control_pattern	direct_phenotype_direction	direct_phenotype_FDR_0_05	n_samples	n_donors	donor_aware_model	classification_test	primary_FDR_family	statistical_unit
OPC	min30_primary	30	primary	protein_folding	Protein folding	1.46135177145963	-1.84560071902792	1.89011493429251	0.0083975239540757	6.37148074847595e-06	1.44496003957323e-05	0.0293913338392649	2.23001826196658e-05	4.30310484720189e-05	0.0188944288966703	6.4375098727079e-05	0.000113790603116392	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	protein_stabilization	Protein stabilization	1.30813121400575	-1.35549155461325	1.7130504306272	0.0418290972442123	0.0251334984745961	0.000121420436523203	0.097601226903162	0.0351868978644346	0.000169988611132484	0.0693482401680361	0.045240297254273	0.000588422115458597	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	small_GTPase	Small GTPase	1.92895220727043	-1.41598854946698	1.81066808677671	3.55496522489143e-06	0.0102883536319016	1.84418779165795e-05	2.488475657424e-05	0.0180046188558278	4.30310484720189e-05	6.4375098727079e-05	0.0209085896390258	0.000129093145416057	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
OPC	min30_primary	30	primary	synapse_junction	Synapse / junction assembly	0.978918188032707	-1.84747532200089	2.01168591718957	0.48443579766537	0.000202687671788902	9.22609385618391e-05	0.492452830188679	0.000472937900840771	0.000161456642483219	0.534905660377359	0.000798082707668802	0.000528403557217806	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	axon_development	Axon development	0.853582267031354	-1.88157198157206	1.86260798257112	0.761341222879684	0.000171474831882252	0.000330234761584685	0.779324055666004	0.000600161911587883	0.000680817757157071	0.786303230187215	0.000771636743470135	0.00109498894630711	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	heat_response	Heat response	1.3318241883244	-0.93445139239187	1.12325744253865	0.104536489151874	0.55868544600939	0.281795511221945	0.243918474687706	0.55868544600939	0.281795511221945	0.146351084812623	0.596562425399857	0.334964475603444	shared_direction	FTD_higher	FALSE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	mitochondrial_energy	Mitochondrial energy	0.808193360852544	-2.19372712824255	2.00565036910229	0.779324055666004	0.000107232852553699	0.00108449851590354	0.779324055666004	0.000600161911587883	0.00151829792226496	0.787539936102236	0.000562972475906921	0.00310560938645105	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	protein_folding	Protein folding	1.24254957539195	-1.58964458798259	1.90623831061021	0.0757575757575758	0.000971926169787948	5.48771481622382e-06	0.243918474687706	0.00226782772950521	2.50347606160863e-05	0.116306932801745	0.00291577850936384	6.4375098727079e-05	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	protein_stabilization	Protein stabilization	1.14593503659387	-1.43802007800456	1.60945522210013	0.159090909090909	0.00478661616308233	0.000389038718375469	0.278409090909091	0.00670126262831526	0.000680817757157071	0.200454545454545	0.0115983391643918	0.00122547196288273	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	small_GTPase	Small GTPase	1.43649353203199	-1.49296886697339	1.83903316513648	0.00894155464783459	0.00346217368571853	7.15278874745322e-06	0.0625908825348421	0.00605880395000743	2.50347606160863e-05	0.0194247566487441	0.0087246776880107	6.4375098727079e-05	shared_direction	FTD_higher	TRUE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
Oligo	min30_primary	30	primary	synapse_junction	Synapse / junction assembly	-0.913254886968132	-1.34846461211024	1.30779727341311	0.646245059288538	0.0775379552011636	0.0891366746374728	0.779324055666004	0.0904609477346908	0.103992787077052	0.678557312252965	0.116306932801745	0.127627511412745	opposite_direction	FTD_higher	FALSE	33	17	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	descriptive classification of three contrast-specific FGSEA NES values; no independent test	each contrast-specific global_primary_FDR is BH within the 63-axis frozen primary universe	biological donor; repeated regions donor-blocked
