cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	Astro	FTD_region_interaction	-0.586227359366241	-1.63070854032504	0.458253821592555	-1.12330586072937	0.265900797730329	0.815882090580689	33	17	0.236677165090426	secondary	0.556422512158274	0.195790799292362	1.58131032283192		Astrocyte	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Endo	FTD_region_interaction	0.802093182226199	-0.303733970351634	1.90792033480403	1.45167746934179	0.151938508650243	0.709046373701133	33	17	0.236677165090426	secondary	2.2302042701169	0.738057185429613	6.73905922825271		Endo	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_deep	FTD_region_interaction	-0.0351957008147921	-1.00337494718253	0.932983545552945	-0.0727555971032787	0.942249032170494	0.942249032170494	33	17	0.236677165090426	secondary	0.9654164649804	0.366639960255764	2.54208229295322		Exc_deep	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_intermediate	FTD_region_interaction	0.441761461355622	-0.530408896408894	1.41393181912014	0.909448292734958	0.36684892167584	0.815882090580689	33	17	0.236677165090426	secondary	1.55544466251645	0.588364340419569	4.11209166147904		Exc_intermediate	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_upper	FTD_region_interaction	-0.214939887532174	-1.28258638250423	0.852706607439887	-0.402923037865089	0.688475007754458	0.815882090580689	33	17	0.236677165090426	secondary	0.806589924830952	0.27731911879037	2.34598793504241		Exc_upper	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_LAMP5	FTD_region_interaction	-0.305010188298885	-1.19588724422962	0.585866867631846	-0.685218584447392	0.495914878120512	0.815882090580689	33	17	0.236677165090426	secondary	0.737115864396631	0.302435500954912	1.79654767985124		Inh_LAMP5	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_PVALB	FTD_region_interaction	-1.00645440210327	-1.97905545490542	-0.0338533493011299	-2.07105641651289	0.0427786550970882	0.475425249631617	33	17	0.236677165090426	secondary	0.365512645674095	0.138199711541404	0.966713263418428		Inh_PVALB	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_SST	FTD_region_interaction	-0.170987871983198	-1.27462720410612	0.932651460139724	-0.310077817567382	0.757604798396354	0.815882090580689	33	17	0.236677165090426	secondary	0.842831795287809	0.279535158358604	2.54123824466035		Inh_SST	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_VIP	FTD_region_interaction	-0.379213370982695	-1.35303927660749	0.594612534642101	-0.779354199045142	0.438915658276811	0.815882090580689	33	17	0.236677165090426	secondary	0.68439956607781	0.258453553901274	1.81232859435324		Inh_VIP	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_other_CGE	FTD_region_interaction	0.230788502219603	-0.749731236935584	1.21130824137479	0.471075359983541	0.639340580812574	0.815882090580689	33	17	0.236677165090426	secondary	1.25959281019207	0.47249352448515	3.35787469091		Inh_other_CGE	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Micro	FTD_region_interaction	0.193956167274512	-0.797724880444892	1.18563721499392	0.391439043158011	0.696896297367907	0.815882090580689	33	17	0.236677165090426	secondary	1.21404306697346	0.450352405013902	3.27277161630972		Microglia	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	OPC	FTD_region_interaction	0.340223934740706	-0.693640535364553	1.37408840484597	0.658618330013449	0.512727314919613	0.815882090580689	33	17	0.236677165090426	secondary	1.40526224236741	0.499753383437431	3.95147293699259		OPC	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Oligo	FTD_region_interaction	-0.305670159997491	-1.93223279945359	1.32089247945861	-0.38691836245894	0.702071048286484	0.815882090580689	33	17	0.236677165090426	secondary	0.736629549282294	0.144824473206662	3.74676379524281		Oligodendrocyte	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	VLMC	FTD_region_interaction	0.994875693262105	-0.0756193331626081	2.06537071968682	1.86001620305745	0.0679178928045168	0.475425249631617	33	17	0.236677165090426	secondary	2.70438814671574	0.927169081913288	7.88822167473937		VLMC	FTD_region_interaction	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
