cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	OPC	ALS_vs_Ctrl_mean	0.182342142464998	-0.40370474970704	0.768389034637036	0.622712017552211	0.535896090359821	0.970575539552179	33	17	0.236677165090426	primary	1.20002470305952	0.667841272494373	2.1562897461765	0.690401794530609	OPC	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Oligo	ALS_vs_Ctrl_mean	-0.404966700287729	-1.32698501829738	0.517051617721924	-0.904309000878513	0.374412285853145	0.970575539552179	33	17	0.236677165090426	primary	0.666999021364167	0.265275858676696	1.67707569290337	0.589535711717047	Oligodendrocyte	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	VLMC	ALS_vs_Ctrl_mean	-0.0733523394554685	-0.680163291434459	0.533458612523522	-0.241931891015546	0.809679850061049	0.970575539552179	33	17	0.236677165090426	primary	0.929273352670523	0.506534272904059	1.70481843021721	0.94462649173789	VLMC	ALS vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Astro	FTD_vs_Ctrl_mean	0.538442247971354	-0.108157473873514	1.18504196981622	1.66661841553188	0.100941427200201	0.141317998080282	33	17	0.236677165090426	primary	1.71333582995718	0.897486254664962	3.27082409447141	0.211976997120423	Astrocyte	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Endo	FTD_vs_Ctrl_mean	1.96692615128576	1.28234940418826	2.65150289838326	5.75040551718172	3.43023969966888e-07	4.80233557953644e-06	33	17	0.236677165090426	primary	7.14866875519224	3.60509961996853	14.1753267200722	1.44070067386093e-05	Endo	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_deep	FTD_vs_Ctrl_mean	-0.468897387296893	-1.06826139960268	0.130466625008896	-1.56574023156802	0.122808476730355	0.156301697656815	33	17	0.236677165090426	primary	0.625691783787601	0.34360539087524	1.13935991313203	0.238184228580531	Exc_deep	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_intermediate	FTD_vs_Ctrl_mean	-0.865689891113813	-1.46752465307604	-0.263855129151587	-2.87884072832598	0.00556800149915248	0.0259840069960449	33	17	0.236677165090426	primary	0.420761173079358	0.230495335526892	0.76808480469429	0.0334080089949149	Exc_intermediate	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_upper	FTD_vs_Ctrl_mean	-0.7521859504666	-1.41312646262008	-0.0912454383131162	-2.27769414639563	0.0264191580905955	0.0528383161811911	33	17	0.236677165090426	primary	0.471335110606071	0.243381170284202	0.912793648870285	0.085354203061924	Exc_upper	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_LAMP5	FTD_vs_Ctrl_mean	-0.202385623314821	-0.753894704631156	0.349123458001513	-0.734445461808229	0.465613914129152	0.543216233150678	33	17	0.236677165090426	primary	0.816779897832981	0.470530402492893	1.41782422128214	0.631620779598892	Inh_LAMP5	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_PVALB	FTD_vs_Ctrl_mean	-0.699601660108456	-1.30170304946101	-0.097500270755898	-2.32548618065977	0.023537526073902	0.0528383161811911	33	17	0.236677165090426	primary	0.49678315293045	0.272068052909047	0.907102095952526	0.085354203061924	Inh_PVALB	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_SST	FTD_vs_Ctrl_mean	-0.879691739301905	-1.56291408756161	-0.196469391042201	-2.57692044442371	0.0125142638345282	0.0437999234208488	33	17	0.236677165090426	primary	0.414910792660822	0.209524607651303	0.821626480040618	0.0583998978944651	Inh_SST	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_VIP	FTD_vs_Ctrl_mean	-0.51511508571679	-1.11797473621265	0.087744564779067	-1.71009647763305	0.0925525133058456	0.141317998080282	33	17	0.236677165090426	primary	0.597431834790737	0.32694126687744	1.09170922542252	0.204589766255027	Inh_VIP	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_other_CGE	FTD_vs_Ctrl_mean	-0.669008923505406	-1.2760124791072	-0.0620053679036153	-2.20583608289187	0.031340674311741	0.0548461800455468	33	17	0.236677165090426	primary	0.51221597152154	0.279148193380145	0.939877841603884	0.0940220229352231	Inh_other_CGE	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Micro	FTD_vs_Ctrl_mean	0.187938037515186	-0.425975071982465	0.801851147012837	0.612689363896406	0.542458552845478	0.584186133833592	33	17	0.236677165090426	primary	1.20675873926292	0.653132623219231	2.22966454746912	0.690401794530609	Microglia	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
