estimand	cell_type	gene	discovery_log2FC	discovery_ci_low	discovery_ci_high	discovery_adjusted_p	replication_log2FC	replication_ci_low	replication_ci_high	replication_adjusted_p	same_direction	replication_class	discovery_n_donors	replication_n_donors	model_test	adjusted_p_scope	CI_definition
ALS_vs_Control	Astrocyte	STARD13	-0.312299929015857	-0.758556380739443	0.133956522707729	0.780446556729855	-0.261716344406727	-0.722198539809781	0.198765850996327	0.786261462559216	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	ARHGAP35	-0.0658979963995425	-0.275800228169956	0.144004235370871	0.938419228698915	-0.153635049497587	-0.573829917875329	0.266559818880155	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	ARHGAP39	0.21406191581457	-0.243431951607647	0.671555783236787	0.885525173467671	0.370690181672376	-0.13074682121638	0.872127184561132	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	BAG3	1.50749973707803	0.186585470762414	2.82841400339365	0.511196292729886	-0.547356258308393	-1.94206266313938	0.84735014652259	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	BCR	0.0171540226780755	-0.200722334749407	0.235030380105558	0.989181779656172	-0.188000217712915	-0.677576570441207	0.301576135015377	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	CCT5	0.427481278669984	-0.365474571860731	1.2204371292007	0.856496997329863	0.137809183196959	-0.472345707715284	0.747964074109202	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	CCT8	-0.0889459341922407	-0.972600311753775	0.794708443369294	0.985735823679277	0.291056555367032	-0.237360731607546	0.819473842341611	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	CHORDC1	0.44585471710364	-0.372015954852737	1.26372538906002	0.854283999850571	0.110096663034582	-0.632849324037	0.853042650106164	0.996940306081293	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	COA3	-0.267432992775252	-2.4085634195291	1.87369743397859	0.981786615392462	0.0730979730779415	-0.618920911640201	0.765116857796084	0.999318690250022	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	COX5B	1.11708779748738	-1.2133958286404	3.44757142361516	0.880973530550881	0.242244009813001	-0.81567014650546	1.30015816613146	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	COX7C	0.299219032717754	-1.98837478676888	2.58681285220439	0.980686259972842	0.426768950006945	-0.471700679332878	1.32523857934677	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	DOCK7	0.304871394247807	-0.010037529897143	0.619780318392757	0.618885763382413	-0.376088036279297	-0.800946200048861	0.0487701274902672	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	HSP90AA1	1.30344609054707	-0.706083827042913	3.31297600813705	0.807046270124138	0.510455372209585	-0.352136037333396	1.37304678175257	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	HSP90AB1	1.78102240156779	0.194190600845994	3.36785420228959	0.529147703020159	0.415625905853065	-0.351012297549434	1.18226410925556	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	MAP1B	0.416225053984892	-0.657402342769124	1.48985245073891	0.915136581284996	0.234742798249669	-0.240462714502658	0.709948311001996	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	MAPT	0.149123261434487	-0.247475906600063	0.545722429469037	0.918467765413625	-0.179505857351211	-0.578836181767509	0.219824467065087	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	PARK7	0.600253530206895	-1.40914425631533	2.60965131672912	0.943266605209026	0.287340933973699	-0.436915956129476	1.01159782407687	0.986977063947027	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	OPC	STARD13	0.00601872743252718	-0.337701557407292	0.349739012272346	0.997478713511678	-0.430158488367077	-1.00286961490252	0.142552638168364	0.986977063947027	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	ARHGAP35	0.0821310895096703	-0.143848659264739	0.308110838284079	0.923128071569657	-0.134140550973166	-0.538887256599599	0.270606154653267	0.970387790854141	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	ARHGAP39	0.973877687534975	0.415185561357261	1.53256981371269	0.246189440331991	0.162943634369681	-0.629621433236147	0.955508701975509	0.988592593100892	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	BAG3	2.35072199436018	-0.687614953679891	5.38905894240025	0.73949354105589	0.281578136896337	-1.18320641794986	1.74636269174254	0.990085464605502	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	BCR	0.282480799786907	-0.155112801621568	0.720074401195382	0.807870749122672	-0.12735660811617	-0.657241579560821	0.402528363328481	0.985468012978478	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	CCT5	-0.183500419360465	-1.0520575920074	0.685056753286468	0.964543271440211	0.396866477249048	-0.275852494029963	1.06958544852806	0.924340994780789	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	CCT8	-0.524652589826074	-1.69631628342326	0.647011103771113	0.893560872586296	0.540895838036267	-0.0351015903886616	1.1168932664612	0.838374545149731	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	CHORDC1	0.665413141815479	-0.108454415365166	1.43928069899612	0.690024186586004	0.234715583262884	-0.724344698759118	1.19377586528489	0.985468012978478	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	COA3	-0.363095824192205	-2.34182508690247	1.61563343851806	0.970245601089826	0.529950719358008	-0.234359350593204	1.29426078930922	0.908166055932009	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	COX5B	0.943780255542529	-1.91623477654447	3.80379528762953	0.933693414526211	0.427463838950636	-0.631905011253627	1.4868326891549	0.960747476296538	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	COX7C	0.396162520727896	-2.54496407685306	3.33728911830886	0.97977567766659	0.723341158329456	-0.413066116987764	1.85974843364668	0.913285325957524	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	DOCK7	0.319694523710685	-0.0917186674895422	0.731107714910912	0.737014320194435	-0.145890490207144	-0.680045074555133	0.388264094140845	0.98248287362097	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	HSP90AA1	0.717386468262063	-0.930837209279372	2.3656101458035	0.898608562043186	0.163316381554091	-0.499262144837782	0.825894907945964	0.985468012978478	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	HSP90AB1	0.997272400025125	-0.733980379893566	2.72852517994382	0.840502489653999	0.752465752383166	-0.0454779307216452	1.55040943548798	0.838374545149731	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	MAP1B	0.615678141393648	-1.0415081045846	2.2728643873719	0.920338799000579	0.0431548426429078	-0.369410953954894	0.45572063924071	0.994266381409201	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	MAPT	0.17719546363044	-0.135458070731242	0.489848997992122	0.844454584527991	-0.268378178345682	-0.682889456681431	0.146133099990067	0.913285325957524	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	PARK7	0.787365184650969	-1.26818879995721	2.84291916925915	0.916544834156825	0.428388142379778	-0.344210174003136	1.20098645876269	0.927198228006439	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_Control	Oligodendrocyte	STARD13	-0.273568242861048	-0.564840442839562	0.0177039571174664	0.639758620641636	-0.316951427514233	-0.747568665781805	0.113665810753339	0.904124746931197	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	ARHGAP35	-0.404547089276039	-0.884258933684481	0.0751647551324025	0.698772155359435	-0.476347594781653	-0.987900488796647	0.0352052992333409	0.580444687010113	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	ARHGAP39	0.235657057503763	-0.425714951279455	0.897029066286981	0.925610614266036	0.0774465210729431	-0.791870185911301	0.946763228057188	0.976729171073792	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	BAG3	-0.300212922135628	-1.30722584893877	0.706800004667511	0.94348356573455	-0.595084492036376	-1.68220573114392	0.492036747071169	0.774727637399867	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	BCR	0.416460075801505	0.00343975667271679	0.829480394930293	0.598805152924406	0.249739004814604	-0.371373825960106	0.870851835589314	0.850073231785552	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	CCT5	-0.482568583953184	-2.66480017182731	1.69966300392095	0.962301237409131	0.0451850789302513	-0.866803374928141	0.957173532788643	0.987117972042149	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	CCT8	-0.567080929111092	-1.88191209796097	0.747750239738781	0.90022041834071	0.331056510944157	-0.499578612762482	1.1616916346508	0.850883094329428	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	CHORDC1	-0.900452071304958	-1.85604335741155	0.0551392148016338	0.640131657232367	-0.381793507582831	-1.41625605321635	0.652669038050685	0.865475431923926	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	COA3	-3.92297561480223	-6.13293381327547	-1.71301741632899	0.241903406583883	-0.0587543700318705	-1.02217627798898	0.904667537925242	0.985407334262688	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	COX5B	-2.6469019295448	-5.39719956372821	0.103395704638605	0.628659696495412	0.710131015805589	-0.552879656050467	1.97314168766165	0.769746951074378	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	COX7C	-2.00807599035162	-4.12674343730266	0.110591456599419	0.63732906696842	0.924429979340166	-0.222429006186815	2.07128896486715	0.644244893000371	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	DOCK7	-0.434868109714582	-0.804855895514678	-0.0648803239144862	0.498027547635882	-0.331583323233508	-0.83946050001213	0.176293853545114	0.726637252462197	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	HSP90AA1	-2.84769925526376	-5.45012783626384	-0.245270674263685	0.54691125513016	-0.104045142976588	-1.33722420589335	1.12913391994017	0.977431829350956	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
