feature	cell_type	log2FC_per_pTDP_level	logCPM	F	p_value	FDR	layer	n_donors	model	target_global_FDR	loo_same_direction_fraction	model_test	candidate_FDR_family	transcriptome_FDR_family	valid_LOO_iterations	uncertainty_interval
ARHGAP39	ODC	0.127557362684893	4.17025060107656	0.266248989721115	0.611152396055378	0.996959285509404	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.838024939196656	0.785714285714286	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
ARHGAP39	OPC	0.208121538890976	4.81615921923967	0.611276296070689	0.44392932484711	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.730351685851355	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	ASC	-0.0315096255869621	6.09084884454876	0.0120437622686143	0.913624855727825	0.993562365758187	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.571428571428571	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	EX	-0.853349942969349	1.40748239510626	2.34908437969012	0.142888063209351	0.347238767874157	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.393020893925138	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	IN	0.306642017303332	2.53116788367968	0.562526630459704	0.461596818355957	0.800986865382801	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.730351685851355	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	MG	-0.985440406991211	5.67863541611752	23.5913258313015	8.02460602981238e-05	0.0442607528367038	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.00477464058773837	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	ODC	0.230731519250238	2.64413720862536	0.552494115945062	0.464664764264941	0.993388613726955	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.730351685851355	0.714285714285714	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BAG3	OPC	0.121962826072307	3.74021941744951	0.123786067794822	0.728582550024677	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.906517072550242	0.642857142857143	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BCR	ASC	0.235684564674128	7.36531147056198	0.596902444247958	0.448119867300349	0.912519676670585	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.730351685851355	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BCR	EX	-0.63949606516704	6.21230822310772	3.83457254167949	0.0695273834330933	0.248475545784202	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.243345842015827	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BCR	IN	-0.149146867887576	6.41005777098654	0.401214336084769	0.534130693877996	0.831946069929369	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.774918629708187	0.857142857142857	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
