cell_type	contrast	set_id	set_label	threshold	minimum_nuclei	analysis_role	NES	pval	padj	comparison_FDR	global_primary_FDR	direction	size	ES	ranked_genes	leadingEdge	log2err	primary_NES	primary_pval	primary_comparison_FDR	primary_global_FDR	direction_retained	absolute_NES_difference	n_samples	n_donors	donor_aware_model	sensitivity_test	uncertainty_interval
Astro	ALS_vs_Ctrl_mean	small_GTPase	Small GTPase	min20_sensitivity	20	sensitivity	1.64454068141092	0.000222032937373915	0.0015542305616174	0.0015542305616174		positive	177	0.349466756859107	15416	NUCB1;RALGDS;FGD3;RASGEF1B;PLCE1;FGD2;PLEKHG4B;MCF2L;ARHGEF3;RHOU;ARHGEF17;RGL3;DOCK8;ARHGAP15;RHOC;SIPA1;ARHGAP39;SRGAP2;RASGEF1C;DOCK2;ARHGEF10L;RASL12;RHOA;SH2D3C;ARHGAP1;RAPGEF3;ARHGAP25;TIAM2;RIT2;MYO9B;VAV2;PLD1;PLEKHG3;CHP1;RASGRP1;RHOG;ARHGAP22;VAV1;RAP1GAP;KNDC1;PLD2;DOCK10;DVL2;PREX1;AKAP13;RRAD;ARHGAP10;DOCK11;ARHGAP33;ABR;DEF6;ARAP1;ARHGAP6;ARHGEF40	0.518848077743792	1.67538289060368	0.000231025420251782	0.00161717794176247	0.000856153027991897	TRUE	0.0308422091927625	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	small_GTPase	Small GTPase	min50_sensitivity	50	sensitivity	1.63029302799874	0.00038394010148922	0.00268758071042454	0.00268758071042454		positive	180	0.338294772003079	15943	RALGDS;RASGEF1B;NUCB1;FGD3;PLCE1;ARHGEF3;MCF2L;FGD2;PLEKHG4B;DOCK8;ARHGEF17;RHOU;RHOC;RGL3;ARHGAP15;ARHGAP39;SRGAP2;RASGEF1C;SIPA1;RASL12;DOCK2;ARHGEF10L;ARHGAP45;SH2D3C;RHOA;ARHGAP1;RAPGEF3;RIT2;ARHGAP25;VAV2;TIAM2;MYO9B;PLEKHG3;PLD1;RHOG;RASGRP1;CHP1;VAV1;RAP1GAP;PLD2;ARHGAP22;DOCK11;KNDC1;PREX1;DVL2;AKAP13;DOCK10;ARHGAP33;ABR;DEF6;ARAP1;ARHGAP10;ARHGEF40;ARHGEF11;RASGEF1A;SIPA1L3;RRAD;ARHGAP6;RHOBTB1;RIN2;TRIO;RRAGC;KALRN;MYO9A;TNK2;RND3	0.49849310876659	1.67538289060368	0.000231025420251782	0.00161717794176247	0.000856153027991897	TRUE	0.0450898626049447	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	synapse_junction	Synapse / junction assembly	min20_sensitivity	20	sensitivity	1.5703240809712	0.0104599470360115	0.0366098146260402	0.0366098146260402		positive	63	0.392888900906335	15416	DNER;NLGN2;ADD2;MAPT;PLXNB2;PLXND1;SPOCK2;RHOA;DAG1;FZD5;PCDHB9;PLXNA1;PCDHB4;RAB29;PCDHB14;PCDHB10;PCDHB6;PLXNB1;PLXNA3	0.380730400722792	1.58370889048007	0.00989685014138998	0.0346389754948649	0.020783385296919	TRUE	0.0133848095088684	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_Ctrl_mean	synapse_junction	Synapse / junction assembly	min50_sensitivity	50	sensitivity	1.62461372315503	0.00902291700218959	0.0315802095076636	0.0315802095076636		positive	65	0.394649584838015	15943	DNER;ADD2;NLGN2;PLXNB2;MAPT;PLXND1;SPOCK2;RHOA;DAG1;FZD5;PCDHB4;PCDHB9;PLXNA1;MAP1B;PCDHB14;RAB29;PCDHB10;PLXNA3;PCDHB6;PLXNB1	0.380730400722792	1.58370889048007	0.00989685014138998	0.0346389754948649	0.020783385296919	TRUE	0.0409048326749664	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	axon_development	Axon development	min20_sensitivity	20	sensitivity	-1.69280005247283	0.00139009049332415	0.00486531672663452	0.00486531672663452		negative	76	-0.420693114749432	15416	APP;NMNAT2;MARK2;GPM6B;ZPR1;CNTN4;MAP1A;TAOK2;MAP1B;PAK3;DOCK7;PARD3;SHTN1;MAPK8IP3;ACTB;PICALM;GRM7;APLP2;DCC;BRSK1;APBB1;SPAST;WNT7A;APLP1;CELSR2;ATL1;LLGL1;SPG11;DSCAML1;AMIGO1;MAP1S;PARD6B;RAB10;OLIG2;SLITRK5;PRICKLE1;TRIM46	0.45505986738723	-1.69191337549945	0.00146044166322245	0.00511154582127857	0.00400034020795714	TRUE	0.000886676973379519	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	axon_development	Axon development	min50_sensitivity	50	sensitivity	-1.76983848881948	0.00061693923827112	0.00215928733394892	0.00215928733394892		negative	81	-0.422499675276875	15943	NMNAT2;APP;MAP1A;GPM6B;MARK2;CCK;CNTN4;MAP7D2;ZPR1;TAOK2;SHTN1;PAK3;MAP1B;PARD3;DOCK7;MAPK8IP3;APLP2;PICALM;GRM7;ACTB;DCC;BRSK1;CELSR3;WNT7A;SPAST;APLP1;APBB1	0.477270815362862	-1.69191337549945	0.00146044166322245	0.00511154582127857	0.00400034020795714	TRUE	0.0779251133200323	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	heat_response	Heat response	min20_sensitivity	20	sensitivity	-1.09733835966558	0.315789473684211	0.368421052631579	0.368421052631579		negative	25	-0.341120106725715	15416	EIF2B3;DNAJA1;SOD1;HSP90AA1;MTOR;MAP2K7;CRYAB;HSPB1;NOS1;DNAJA2;EIF2B4;PSIP1	0.0956031492204301	-1.09377909596748	0.331658291457286	0.377708978328173	0.386934673366834	TRUE	0.00355926369810122	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	heat_response	Heat response	min50_sensitivity	50	sensitivity	-1.07941733197102	0.351201478743068	0.351201478743068	0.351201478743068		negative	25	-0.331405435800857	15943	EIF2B3;DNAJA1;SOD1;HSP90AA1;MTOR;MAP2K7;CRYAB;HSPB1;NOS1;DNAJA2;EIF2B4;HSPA2	0.0943563635421779	-1.09377909596748	0.331658291457286	0.377708978328173	0.386934673366834	TRUE	0.0143617639964566	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	mitochondrial_energy	Mitochondrial energy	min20_sensitivity	20	sensitivity	-1.33194175346381	0.13265306122449	0.185714285714286	0.185714285714286		negative	21	-0.429257870299188	15416	UQCRB;COX4I1;COX7A2;COX6B1;COX5B;COX7C;UQCRH;C2orf69;COX6C;COX5A;MT-CO1	0.157402899305283	-1.31471532449263	0.122033898305085	0.170847457627119	0.160169491525424	TRUE	0.0172264289711774	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
Astro	ALS_vs_FTD_mean	mitochondrial_energy	Mitochondrial energy	min50_sensitivity	50	sensitivity	-1.17012276830885	0.25328330206379	0.295497185741088	0.295497185741088		negative	22	-0.374495987959958	15943	UQCRB;COX4I1;COX7A2;COX6B1;COX7C;COX5B;C2orf69;UQCRH;COX6A1;MT-CO1	0.115734447701689	-1.31471532449263	0.122033898305085	0.170847457627119	0.160169491525424	TRUE	0.144592556183776	31	16	limma duplicateCorrelation donor-blocked pseudobulk; diagnosis-by-region fixed effects	FGSEA rerun after 20- or 50-nucleus eligibility threshold; direction comparison to 30-nucleus primary	not applicable: descriptive direction-retention sensitivity summary
