cell_type	contrast	family_id	pval	padj	log2err	ES	NES	size	leadingEdge	family_label	cell_type_label	analysis	n_donors	comparison_FDR	global_fixed_family_FDR	technical_NES	technical_p	technical_padj	age_complete_case_NES	age_complete_case_p	age_complete_case_padj	technical_direction_stable	age_direction_stable	LOO_direction_fraction	LOO_stable_90pct	strict_external_programme_replication	SVA12_NES	SVA12_p	SVA12_global_fixed_family_FDR	SVA12_direction_stable	strict_with_SVA12	final_strict_Ruf_axis	contrast_label
Astrocytes	ALSFTD_vs_Control	axon_development	0.247376311844078	0.247437774524158	0.102821842840815	-0.20246211652636	-1.07818092895345	289	MT3;ACTB;LMO4;TUBB2B;VIM;MAP1A;PRKCA;ACTG1;NEFH;PTN;APOE;SMO;TUBB3;PLXNB1;SLC9A6;BSG;SCN1B;DAG1;CHN1;OPHN1;FYN;MAP1B;VEGFA;KREMEN1;AFG3L2;CSPG5;RUFY3;RAB3A;STK24;S100A6;MAP3K13;ROBO3;NLGN3;EFNB2;KIAA0319;C12orf57;DOCK7;METRN;SCN11A;SIN3A;KIF21A;THY1;BOC;PTK7;TSPO;MACF1;APLP2;MEGF8;PGRMC1;SLITRK2;MAPK8IP3;APBB1;GDI1;NOTCH2;PLXNB2;FZD3;KIF5A;PITPNA;FGFR2;NRCAM;OLIG1;RAC1;PAFAH1B1;CAMSAP2;OLFM1;KIFC2;YTHDF1;PRKG1;BMPR2;S100B;CNTNAP1;ANOS1;INPP5F;CDKL3;LIMK1;GAP43	Axon development	Astrocyte	primary_sex_adjusted	75	0.247437774524158	0.32818062726362	-1.059503545816	0.282608695652174	0.329710144927536	-1.27532426756426	0.0202586352437888	0.0709052233532607	TRUE	TRUE	0.52	FALSE	FALSE	-1.4131840806626	0.00492499927488796	0.0141034070144519	TRUE	FALSE	FALSE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	heat_response	0.110927152317881	0.155298013245033	0.170932335370056	-0.29370214374296	-1.26740967152168	65	YWHAE;EIF2B4;DNAJC7;LYN;HSP90AB1;DNAJA2;HSBP1L1;SCN11A;EIF2S1;ATXN3;SOD1;FGF1;HSBP1;STUB1;HSPB1;HDAC6;HSP90AA1;HSPA1B;CREBBP;SUMO1;DHX36;TRPV1;MAP2K7	Heat response	Astrocyte	primary_sex_adjusted	75	0.155298013245033	0.172553348050037	-1.18832559936749	0.177730192719486	0.248822269807281	-0.65552433524252	0.985875706214689	0.985875706214689	TRUE	TRUE	1	TRUE	FALSE	-1.55225121107076	0.00898413789387834	0.0231020688699729	TRUE	FALSE	FALSE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	mitochondrial_energy	1e-10	7e-10		-0.569327835619118	-2.68466053460035	110	ATP5ME;MT-ATP8;CYCS;UQCR10;NDUFA7;ATP5MF;TEFM;COX8A;NDUFC1;COX7C;UQCR11;UQCRQ;NDUFA1;COX6B1;NDUFA13;NDUFS6;NDUFB10;AK4;MT-CO3;NDUFA3;ATP5F1D;COX6A1;MT-ND1;MT-ND3;NDUFB2;COX5A;ATP5F1E;NUPR1;UQCRC1;CHCHD2;MT-CO1;NDUFB7;MT-ND2;MT-ND4;NDUFB3;SLC25A33;NDUFA11;NDUFA5;NDUFAF1;NDUFB11;NDUFS1;NDUFV3;COX5B;MT-CO2;GHITM;PARK7;NDUFS5;MT-ND4L;MT-ND5;NDUFS2;UQCC2;UQCRH;SLC25A51;NDUFA6;MT-ATP6;COX7B;MT-CYB;NDUFS3;NDUFA2;ATP5IF1;ATP5MG;NDUFB1;CYC1;NDUFS8;PINK1;NDUFB4;COX4I1;COX7A2;NDUFS7;NDUFB8;RHOA;ISCU;ATP5F1C;ATP5F1A;COX6C;NDUFC2;ETFRF1;NDUFB5;ATP5PD;ANTKMT;NDUFB9;COX7A2L	Mitochondrial energy	Astrocyte	primary_sex_adjusted	75	7e-10	1.575e-09	-2.87263531097143	1e-10	7e-10	-2.69618194632239	1e-10	7e-10	TRUE	TRUE	1	TRUE	TRUE	1.1826483121666	0.159453302961276	0.23636607262495	FALSE	FALSE	FALSE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	protein_folding	0.00784172789481374	0.0182973650878987	0.380730400722792	-0.295188862510472	-1.46340861128753	156	CLU;CALR;NAA10;PPIE;CANX;ERP29;FKBP8;CDC37;COX14;SDF2;TELO2;ANP32E;DNAJC7;PPIB;FKBP9;PPIA;MESD;P4HB;HSP90AB1;ENTPD5;DNAJA2;BAG4;CCDC47;LYRM7;CD74;VBP1;NUDCD3;ARL2;WDR83OS;PDIA3;TAPBP;PDCD5;CDC123;MPDU1;LMAN1;PFDN5;SDHAF4;PPIH;TBCB;CSNK2A1;FKBP4;UNC45A;HSPB1;KHSRP;HSP90AA1;HSPA1B;HSPA13;NFYC;HSPA5;NUDC;APLF;CCT2;HSP90B1;HSPE1;TXNDC5;PPIG;RIC3;POFUT2;SNRNP70;TUBA1A;DNAJB12;NUDCD2;QSOX2;GRN;CCT7;DNAJB1;HSPA9;LMAN2L;DNAJA1;TRAP1;CDC37L1;PPIL3	Protein folding	Astrocyte	primary_sex_adjusted	75	0.0182973650878987	0.0182973650878987	-1.45266425285697	0.00666904395056773	0.0155611025513247	-0.849060204254192	0.88125	0.985875706214689	TRUE	TRUE	1	TRUE	TRUE	-1.51589233471465	0.00238530939489139	0.00751372459390787	TRUE	TRUE	TRUE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	protein_stabilization	0.01307912692339	0.0228884721159325	0.380730400722792	-0.280400152221715	-1.40729524631837	175	MT3;CLU;CALR;ATP1B2;CDC37;TELO2;DVL3;ZSWIM7;PPIB;NCLN;CTNND1;PYURF;PFN1;HSP90AB1;COA8;PLPP3;GAPDH;SMAD3;PFN2;TRIM37;BAG4;GNAQ;CAMLG;PIN1;RPL23;TBL1X;CD74;SPAG1;PARK7;VBP1;MAPK8IP3;LAMP1;CHP1;USP36;RUVBL1;PARVA;PML;UFL1;HCFC1;RPAP3;IP6K2;POLR2E;FLOT2;WFS1;PINK1;PHB2;PFDN5;PRKRA;NOP53;CSNK2A1;IFT46;STUB1;HSPB1;CBL;HSP90AA1;HSPA1B;NAPG;PER3;MSX1;EFNA1;SUMO1;CCT2;EHMT1	Protein stabilization	Astrocyte	primary_sex_adjusted	75	0.0228884721159325	0.0284132757301231	-1.28516065155751	0.0477570140604648	0.0835747746058134	-0.802508826293078	0.949367088607595	0.985875706214689	TRUE	TRUE	1	TRUE	TRUE	-1.49617085027709	0.00356326262499833	0.0109505144085314	TRUE	TRUE	TRUE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	small_GTPase	0.247437774524158	0.247437774524158	0.101350743797099	-0.196665303183473	-1.0755691893165	358	RHOB;RHOC;SPRY2;CSNK1E;MMD2;TP53;ARHGAP19;DVL3;APOE;PLXNB1;CADM4;SWAP70;DAG1;ITSN1;SNTA1;CHN1;DOCK4;ARFGAP1;CDC42EP4;DOCK6;ERBB2;OPHN1;BRK1;GABARAP;PLEKHG1;ARL3;NISCH;PSD3;RASL10A;RAB35;ADGRG1;PLD2;LAMA1;RHOJ;CFL1;ARHGEF17;ARHGAP5;NUCB1;ARHGAP29;G3BP1;DOCK7;PPP1CB;BRAP;PSD;MICALL2;AKAP13;GBF1;PIN1;PLCE1;RUNDC3A;PRAG1;FGF2;PHACTR4;RIT1;MFN2;DIRAS2;PARK7;SPRY1;RHEB;GIPC1;RGL1;CDKN1A;GDI1;RAB18;NOTCH2;HACD3;KANK1;RAB9A;BCAR3;ABL2;CHP1;RAB4B;CGNL1;RAC1;ARHGDIA;ITGAV;ARHGAP39;ARHGAP31;PREX2;TGFB2;CSNK1A1;MAP4K4;RAPGEF3;LZTR1;PDPN;DENND4A;ARHGEF4;NKIRAS1;STMN3;KANK2;LIMK1	Small GTPase	Astrocyte	primary_sex_adjusted	75	0.247437774524158	0.32818062726362	-0.978325500459714	0.563084112149533	0.563084112149533	-1.03723523025582	0.323383084577114	0.56592039800995	TRUE	TRUE	0.88	FALSE	FALSE	-1.14697658335112	0.120805369127517	0.190268456375839	TRUE	FALSE	FALSE	ALS-FTD vs control
Astrocytes	ALSFTD_vs_Control	synapse_junction	0.000168021227019298	0.000588074294567542	0.518848077743792	0.270350779482728	1.53845021713403	334	HTR4;MPDZ;IL1RAPL2;CDH18;PLXNC1;CNTN5;PLXNA4;NEGR1;LRRTM3;SDK1;ARHGEF7;PRKCH;KIRREL3;ROCK1;CDH13;SLITRK5;CDH12;CRTAC1;ARMCX5-GPRASP2;CDH8;EPHA3;CORO1C;CNTNAP2;ADGRL2;LRFN5;PTPRO;GABRB3;ITGA2;CUX2;ASIC2;CLSTN2;ELMO1;LRRTM4;NAE1;CDH9;GABRG3;PUM2;PRICKLE1;OPCML;GABRB2;LIMCH1;GRIA1;ARHGAP6;SFRP1;STAU2;NECTIN3;FGF13;PTPRK;TLR2;LHFPL4;TBCD;EPHA7;TEK;PTPRD;MYCBP2;EPB41L3;GRID2;ADD2;PCLO;PIP5K1C;PKP4;SHANK2;CSMD2;GABRG2;ANKRD28;NRXN3;OGT;SLIT1;GABRA3;CDH7;RAPGEF2;RTN4RL1;NLGN1;DSCAM;DLG1;DOCK10;PAK2;CRIPT;NLGN4Y;SNCA;FER;PTPN1;CDH19;GREM1;IL1RAPL1;VLDLR;JAM3;ROBO2	Synapse/junction	Astrocyte	primary_sex_adjusted	75	0.000588074294567542	0.000641535594073682	1.55043520543235	0.000120918029319696	0.000423213102618937	1.05987745148397	0.320512820512821	0.56592039800995	TRUE	TRUE	1	TRUE	TRUE	-0.899649479322418	0.774957698815567	0.800366147957061	FALSE	FALSE	FALSE	ALS-FTD vs control
Astrocytes	ALS_vs_ALSFTD	axon_development	0.254237288135593	0.254237288135593	0.0928481214159878	0.218965689269632	1.08820224234235	289	MT3;ACTB;VIM;ACTG1;TUBB2B;KREMEN1;PALLD;LMO4;VEGFA;APOE;PRKCA;NEFH;BSG;TUBB3;ULK1;S100A6;RUFY3;MAPK8IP3;FYN;PAFAH1B1;PTN;YTHDF1;ROBO3;PLXNB2;MAP1A;MACF1;CNTNAP1;SMO;MAP3K13;PLXNB1;EFNA1;METRN;SEMA4B;KIFC2;TRIO;GLI2;MAP1B;CERS2;OPHN1;ANOS1;RAB3A;CTTN;SEMA3B;KIAA0319;PTPRM;LIMK1;PLXND1;RGMA;STK24;NOVA2;KLF7;CHN1;PGRMC1;BOC;SCN1B;NRCAM;B4GALT5;PPP3CB;NRP1;AFG3L2;THY1;INPP5F;S100B;PTK7;DOCK7;TAOK2;TENM4;NOTCH2;GDI1;FGFR2;CDKL3;DAG1;APLP2;TSPO;BAIAP2;C9orf72;NTNG2;SLC9A6;PITPNA;RAC1	Axon development	Astrocyte	primary_sex_adjusted	75	0.254237288135593	0.330756013745705	1.07956596495461	0.242307692307692	0.242307692307692	-1.10614343644548	0.1936	0.3388	TRUE	FALSE	0.786666666666667	FALSE	FALSE	1.72705999277635	4.19241602363696e-06	3.10732011163681e-05	TRUE	FALSE	FALSE	ALS vs ALS-FTD
Astrocytes	ALS_vs_ALSFTD	heat_response	0.106766917293233	0.124561403508772	0.165656695205483	0.320230993458926	1.28807746750392	65	DNAJC7;EIF2B4;YWHAE;BAG3;DHX36;LYN;HSBP1;HSPB1;HSBP1L1;HSP90AB1;PDCD6;DNAJB1;AKT1;DNAJA4;HSPA1B;SUMO1;DNAJA2;PRKACA;TRPV1;MAPKAPK2;HDAC6;EEF1D;HSF1;DNAJA1;HSPA1A;FGF1;HSP90AA1;MAP2K7;HSPA2;SOD1;DNAJB4;SCN11A;ATXN3;LRP11;CRYAB	Heat response	Astrocyte	primary_sex_adjusted	75	0.124561403508772	0.17027027027027	1.47064081064534	0.0309198734144186	0.043287822780186	0.557690615611654	0.997752808988764	0.997752808988764	TRUE	TRUE	1	TRUE	FALSE	1.59619537284427	0.00773247781578383	0.0202977542664326	TRUE	FALSE	FALSE	ALS vs ALS-FTD
Astrocytes	ALS_vs_ALSFTD	mitochondrial_energy	0.000687339003134921	0.00240568651097222	0.477270815362862	0.383245420847143	1.68350386424484	110	MT-ATP8;NUPR1;UQCR10;CYCS;COX8A;NDUFC1;NDUFA7;COX7C;ATP5MF;COX6A1;UQCR11;ATP5ME;AK4;ATP5F1E;UQCRQ;ISCU;NDUFA1;MT-ND4L;NDUFS1;NDUFA3;NDUFA13;CHCHD2;COX6B1;SLC25A33;NDUFB3;NDUFA5;NDUFS6;MT-ND3;COX5A;NDUFB10;NDUFB7;NDUFS2;ETFRF1;SLC25A51;RHOA;ATP5F1D;NDUFA6;GHITM;MT-CO1;UQCRB;PARK7;NDUFB2;MT-ND5;COX5B;NDUFA8;NDUFA11;UQCRH;ATP5MG;COX7B;NDUFAF1;MT-ND4;COX7A2;MT-CO3;TEFM;NDUFB1;NDUFV3;NDUFB4;NDUFA2	Mitochondrial energy	Astrocyte	primary_sex_adjusted	75	0.00240568651097222	0.00211231010719512	1.92791073779769	1.2334605377182e-05	8.6342237640274e-05	2.00227261767329	4.2255666034218e-06	2.95789662239526e-05	TRUE	TRUE	1	TRUE	TRUE	-2.34789616310754	1.74542488725556e-09	2.44359484215779e-08	FALSE	FALSE	FALSE	ALS vs ALS-FTD
